E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,1.03631,0,0,12556e-8,12556e-8,0,116
0.01142761,0.667451,0,0,17071e-8,17071e-8,0,108.5
0.01221612,0.182018,0,0,23082e-8,23082e-8,0,101.5
0.01305903,0.481008,0,0,3104e-7,3104e-7,0,94.94
0.0139601,1.43652,0,0,41514e-8,41514e-8,0,88.81
0.01492335,2.93411,0,0,55224e-8,55224e-8,0,83.08
0.01595306,5.66247,0,0,73068e-8,73068e-8,0,77.72
0.01705382,12.849,0,0,96163e-8,96163e-8,0,72.7
0.017444,20.1638,0,0,0.0010542,0.0010542,0,71.08
0.017711,36.4057,0,0,0.0011209,0.0011209,0,70
0.0177822,57.575,0,0,0.0011392,0.0011392,0,69.72
0.017889,32.766,42.47,2555100,0.001167,2555100,0,69.31
0.018156,10.9873,38.222,2265800,0.0012384,2265800,0,68.29
0.01823053,7.96761,37.125,2191700,0.0012589,2191700,0,68.01
0.01948844,10.5085,23.098,1275600,0.0016394,1275600,0,63.62
0.02083314,13.6677,14.677,758240,0.0021237,758240,0,59.51
0.02227063,13.72,9.7862,472940,0.0027369,472940,0,55.67
0.0238073,13.0032,6.8296,308750,0.0035089,308750,0,52.08
0.02545001,12.158,4.9747,210380,0.0044757,210380,0,48.72
0.02720606,11.3733,3.7714,149200,0.0056799,149200,0,45.57
0.02908327,10.6944,2.9673,109810,0.0071717,109810,0,42.63
0.03109002,10.1175,2.4161,83640,0.0090099,83640,0,39.88
0.03323523,9.61001,2.0302,65743,0.011263,65743,0,37.31
0.0337305,9.48312,1.9611,62575,0.011826,62575,0,36.76
0.0338661,9.42106,1.9433,61757,0.011983,61757,0,36.61
0.0340695,9.41824,1.989,62832,0.012221,62832,0,36.39
0.034578,9.35849,1.9326,60155,0.012828,60155,0,35.86
0.03552846,9.2233,1.8414,55782,0.01401,55782,0,34.9
0.03797993,8.91334,1.6722,47388,0.017341,47388,0,32.64
0.04060054,8.65576,1.5627,41425,0.021359,41425,0,30.54
0.04340198,8.44571,1.4956,37087,0.026181,37087,0,28.57
0.04639671,8.27664,1.4595,33856,0.031938,33856,0,26.72
0.04959809,8.14269,1.446,31378,0.038774,31378,0,25
0.05302035,8.03876,1.4489,29412,0.04685,29412,0,23.38
0.05667876,7.96076,1.4635,27790,0.056343,27790,0,21.87
0.06058959,7.90418,1.4861,26399,0.067442,26399,0,20.46
0.06477028,7.86604,1.5142,25161,0.080353,25161,0,19.14
0.06923942,7.84348,1.5456,24026,0.095295,24026,0,17.91
0.07401695,7.83414,1.5786,22955,0.1125,22955,0,16.75
0.07912411,7.83561,1.6112,21916,0.13221,21916,0,15.67
0.08458368,7.84534,1.642,20893,0.15467,20893,0,14.66
0.09041995,7.86087,1.67,19878,0.18014,19878,0,13.71
0.09665893,7.87971,1.6941,18864,0.20888,18864,0,12.83
0.1033284,7.89855,1.7137,17850,0.24113,17850,0,12
0.1104581,7.91598,1.7279,16836,0.27715,16836,0,11.22
0.1180797,7.92812,1.7363,15826,0.31718,15826,0,10.5
0.1262272,7.93138,1.7384,14823,0.36142,14823,0,9.822
0.1349368,7.92155,1.734,13831,0.41009,13831,0,9.188
