E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.008428,2.53843,0,0,15103e-8,15103e-8,0,147.1
0.008557,3.50839,0,0,16145e-8,16145e-8,0,144.9
0.0085914,4.60765,0,0,16431e-8,16431e-8,0,144.3
0.008643,3.54459,2.13,545850,16867e-8,545850,0,143.5
0.008772,2.64402,2.1646,546560,17994e-8,546560,0,141.3
0.01069,1.03438,2.6472,548490,4158e-7,548490,0,116
0.01142761,0.785561,2.7969,542100,5459e-7,542100,0,108.5
0.01221612,0.555727,2.938,532700,71297e-8,532700,0,101.5
0.01305903,0.335163,3.071,520870,92639e-8,520870,0,94.94
0.0139601,0.118924,3.1962,507110,0.0011975,507110,0,88.81
0.01492335,0.0958117,3.3139,491860,0.0015401,491860,0,83.08
0.01595306,0.310798,3.4245,475460,0.0019707,475460,0,77.72
0.01705382,0.527186,3.528,458220,0.0025091,458220,0,72.7
0.01823053,0.745735,3.6244,440350,0.0031786,440350,0,68.01
0.01948844,0.966891,3.7134,422050,0.0040067,422050,0,63.62
0.02083314,1.19079,3.7948,403450,0.0050258,403450,0,59.51
0.02227063,1.41722,3.8678,384680,0.0062732,384680,0,55.67
0.0238073,1.64545,3.932,365820,0.0077923,365820,0,52.08
0.02545001,1.87395,3.9866,346960,0.0096326,346960,0,48.72
0.02720606,2.1,4.0307,328160,0.01185,328160,0,45.57
0.02908327,2.31315,4.0636,309480,0.01451,309480,0,42.63
0.03038,2.42332,4.0786,297360,0.01652,297360,0,40.81
0.030845,2.42239,4.0826,293160,0.017276,293160,0,40.2
0.030969,2.37534,4.0835,292060,0.017481,292060,0,40.03
0.03109002,2.42622,4.2017,299340,0.017682,299340,0,39.88
0.031155,2.45285,4.2031,298810,0.01779,298810,0,39.8
0.03162,2.55277,4.2127,295100,0.018576,295100,0,39.21
0.03323523,2.77327,4.2434,282800,0.021446,282800,0,37.31
0.03552846,3.04456,4.2797,266810,0.025891,266810,0,34.9
0.03797993,3.31742,4.3029,250940,0.031113,250940,0,32.64
0.04060054,3.59298,4.3112,235190,0.037216,235190,0,30.54
0.04340198,3.87021,4.3036,219630,0.044313,219630,0,28.57
0.04639671,4.14747,4.2796,204310,0.052526,204310,0,26.72
0.04959809,4.42281,4.2389,189300,0.061982,189300,0,25
0.05302035,4.6941,4.1815,174680,0.072814,174680,0,23.38
0.05667876,4.95919,4.1078,160530,0.08516,160530,0,21.87
0.06058959,5.21598,4.0186,146900,0.099164,146900,0,20.46
0.06477028,5.46254,3.915,133880,0.11497,133880,0,19.14
0.06923942,5.69718,3.7985,121510,0.13271,121510,0,17.91
0.07401695,5.91853,3.6708,109850,0.15254,109850,0,16.75
0.07912411,6.12552,3.5338,98922,0.17458,98922,0,15.67
0.08458368,6.31749,3.3894,88755,0.19897,88755,0,14.66
0.09041995,6.49407,3.2395,79355,0.22582,79355,0,13.71
0.09665893,6.6551,3.086,70717,0.25522,70717,0,12.83
0.1033284,6.80118,2.9308,62825,0.28726,62825,0,12
0.1104581,6.93272,2.7755,55655,0.322,55655,0,11.22
0.1180797,7.05053,2.6214,49173,0.35948,49173,0,10.5
0.1262272,7.1557,2.4699,43341,0.3997,43341,0,9.822
0.1349368,7.24938,2.3217,38109,0.44266,38109,0,9.188
0.1442475,7.33266,2.1774,33434,0.4883,33434,0,8.595
0.1542005,7.40712,2.038,29274,0.53653,29275,0,8.04
0.1648404,7.47445,1.8939,25448,0.58723,25449,0,7.521
0.1762144,7.52489,1.7353,21812,0.64025,21813,0,7.036
0.1883732,7.55803,1.587,18660,0.69539,18661,0,6.582
0.2013709,7.57744,1.449,15938,0.75242,15939,0,6.157
0.2152655,7.58557,1.3211,13594,0.81107,13595,0,5.76
0.2301188,7.5842,1.2031,11580,0.87104,11581,0,5.388
0.245997,7.57462,1.0944,9854.1,0.932,9855,0,5.04
0.2629708,7.55776,0.99472,8378.3,0.99358,8379.3,0,4.715
0.2811158,7.5342,0.90347,7118.5,1.0554,7119.6,0,4.41
0.3005128,7.50422,0.82014,6044.9,1.1171,6046,0,4.126
0.3212482,7.46776,0.74419,5131.1,1.1781,5132.3,0,3.859
0.3434143,7.42436,0.67509,4354.1,1.2381,4355.3,0,3.61
0.3671099,7.37312,0.61229,3694.2,1.2967,3695.5,0,3.377
0.3924405,7.31248,0.55531,3134.2,1.3533,3135.6,0,3.159
0.4195189,7.24,0.50364,2659.1,1.4076,2660.5,0,2.955
0.4484657,7.15184,0.45684,2256.3,1.4591,2257.8,0,2.765
0.4794098,7.04174,0.41448,1914.9,1.5075,1916.4,0,2.586
0.5124891,6.8991,0.37614,1625.7,1.5523,1627.3,0,2.419
0.5478508,6.704,0.34148,1380.6,1.5932,1382.2,0,2.263
0.5856525,6.41337,0.30993,1172.1,1.6299,1173.7,0,2.117
0.6260625,5.90422,0.27941,988.52,1.6621,990.18,0,1.98
0.6692609,4.46336,0.25176,833.22,1.6896,834.91,0,1.853
0.671692,4.27069,0.25034,825.51,1.691,827.2,0,1.846
0.681973,2.57294,0.24446,793.95,1.6965,795.65,0,1.818
0.6847146,0.52979,0.24292,785.82,1.6979,787.52,0,1.811
0.688827,2.66519,4.2681,13724,1.7,13726,12950,1.8
0.699108,4.54067,4.1803,13244,1.705,13246,12500,1.773
0.7154399,5.64407,4.0471,12529,1.7122,12531,11830,1.733
0.7648052,7.044,3.6853,10673,1.7297,10675,10080,1.621
0.8175768,7.76036,3.3518,9080.5,1.7421,9082.2,8583,1.516
0.8739896,8.22518,3.0432,7712.4,1.7493,7714.1,7293,1.419
0.9342948,8.55284,2.7592,6541.2,1.7513,6543,6188,1.327
0.9987612,8.79468,2.4992,5542.4,1.7481,5544.1,5245,1.241
1.067676,8.97744,2.2538,4675.7,1.74,4677.4,4430,1.161
1.141345,9.11455,2.0306,3940.7,1.7269,3942.4,3737,1.086
1.220098,9.21735,1.8172,3299,1.7091,3300.7,3130,1.016
1.304285,9.28588,1.6221,2754.7,1.6869,2756.4,2615,0.9506
1.394281,9.33097,1.4469,2298.5,1.6605,2300.2,2182,0.8892
1.490486,9.35888,1.2898,1916.7,1.6301,1918.3,1820,0.8318
1.593329,9.37393,1.1491,1597.4,1.5961,1599,1517,0.7781
1.703269,9.37936,1.0233,1330.6,1.5589,1332.2,1264,0.7279
1.820795,9.37762,0.91083,1108,1.5187,1109.5,1053,0.6809
1.94643,9.37061,0.8105,922.31,1.476,923.79,876.2,0.637
2.080733,9.36013,0.72104,767.55,1.431,768.98,729.2,0.5959
2.224304,9.34689,0.64132,638.62,1.3843,640,606.7,0.5574
2.377781,9.33207,0.57033,531.27,1.3361,532.61,504.6,0.5214
2.541848,9.31652,0.50714,441.92,1.2868,443.21,419.7,0.4878
2.717235,9.30109,0.45093,367.58,1.2368,368.82,349.1,0.4563
2.904724,9.28588,0.39862,303.96,1.1863,305.15,288.5,0.4268
3.10515,9.26977,0.35055,250.05,1.1358,251.19,237.3,0.3993
3.319406,9.25188,0.30702,204.87,1.0855,205.96,194.4,0.3735
3.548445,9.23378,0.26891,167.85,1.0356,168.89,159.3,0.3494
3.793288,9.21598,0.23553,137.53,0.98651,138.52,130.5,0.3269
4.055024,9.19881,0.20629,112.68,0.93836,113.62,106.9,0.3058
4.334821,9.18245,0.18068,92.321,0.89138,93.212,87.6,0.286
4.633924,9.167,0.15825,75.642,0.84575,76.488,71.78,0.2676
4.953664,9.15253,0.13861,61.977,0.80161,62.779,58.81,0.2503
5.295467,9.13905,0.12141,50.782,0.7591,51.541,48.18,0.2341
5.660855,9.12654,0.10634,41.609,0.71832,42.327,39.48,0.219
6.051453,9.115,0.093147,34.093,0.67934,34.772,32.34,0.2049
6.469004,9.10438,0.08159,27.936,0.64223,28.578,26.5,0.1917
6.915365,9.09464,0.071467,22.89,0.60701,23.497,21.71,0.1793
7.392525,9.08575,0.062601,18.757,0.57371,19.331,17.79,0.1677
7.902609,9.07766,0.054836,15.369,0.54232,15.911,14.57,0.1569
8.44789,9.07041,0.048034,12.594,0.51282,13.107,11.94,0.1468
9.030794,9.06412,0.041998,10.301,0.48518,10.786,9.765,0.1373
9.653919,9.05787,0.036478,8.3693,0.45936,8.8287,7.934,0.1284
10.32004,9.05214,0.031684,6.8001,0.4353,7.2354,6.446,0.1201
11.03212,9.04693,0.02752,5.5252,0.41293,5.9381,5.238,0.1124
11.79334,9.04219,0.023903,4.4893,0.39218,4.8815,4.255,0.1051
12.60708,9.0379,0.020762,3.6477,0.37297,4.0207,3.458,0.09834
13.47697,9.03403,0.01798,2.955,0.35523,3.3102,2.8,0.092
14.40688,9.0305,0.015549,2.3905,0.33886,2.7294,2.265,0.08606
15.40095,9.02731,0.013445,1.9337,0.32377,2.2575,1.832,0.0805
16.46362,9.02442,0.011626,1.5641,0.30988,1.874,1.482,0.07531
17.59961,9.02183,0.010053,1.2652,0.2971,1.5623,1.198,0.07045
18.81398,9.01949,0.0086933,1.0234,0.28534,1.3087,0.9691,0.0659
20.11215,9.01739,0.0075172,0.82787,0.27453,1.1024,0.7838,0.06165
21.49988,9.01551,0.0065003,0.66967,0.26456,0.93423,0.6339,0.05767
22.98338,9.01382,0.005621,0.5417,0.25538,0.79708,0.5127,0.05395
24.56923,9.01231,0.0048606,0.43819,0.2469,0.68509,0.4147,0.05046
26.2645,9.01096,0.0042031,0.35446,0.23905,0.59351,0.3354,0.04721
28.07676,9.00976,0.0036202,0.28559,0.23178,0.51737,0.2702,0.04416
30.01405,9.00868,0.0031141,0.22981,0.225,0.45481,0.2174,0.04131
32.08502,9.00772,0.0026787,0.18492,0.21868,0.4036,0.1749,0.03864
34.29889,9.00685,0.0023042,0.1488,0.21275,0.36155,0.1407,0.03615
36.66551,9.00608,0.0019821,0.11974,0.20718,0.32692,0.1132,0.03381
39.19543,9.00539,0.001705,0.096351,0.20191,0.29826,0.09106,0.03163
41.89992,9.00478,0.0014667,0.077532,0.1969,0.27443,0.07326,0.02959
44.79101,9.00424,0.0012616,0.062389,0.19213,0.25452,0.05894,0.02768
47.88159,9.00375,0.0010853,0.050203,0.18756,0.23776,0.04742,0.02589
51.18542,9.00332,93356e-8,0.040398,0.18317,0.22357,0.03815,0.02422
54.71721,9.00294,80306e-8,0.032508,0.17893,0.21144,0.03069,0.02266
58.4927,9.0026,69081e-8,0.026159,0.17482,0.20098,0.02469,0.0212
62.5287,9.0023,59424e-8,0.02105,0.17082,0.19187,0.01987,0.01983
66.84318,9.00204,51118e-8,0.016939,0.16693,0.18387,0.01598,0.01855
71.45536,9.0018,43973e-8,0.01363,0.16312,0.17675,0.01286,0.01735
76.38578,9.00159,37826e-8,0.010968,0.15939,0.17036,0.01035,0.01623
81.6564,9.0014,32542e-8,0.008827,0.15573,0.16456,0.008324,0.01518
87.29069,9.00124,28001e-8,0.007105,0.15214,0.15924,0.006699,0.0142
93.31374,9.0011,24094e-8,0.005719,0.1486,0.15432,0.005391,0.01329
99.75239,9.00097,20732e-8,0.0046033,0.14512,0.14972,0.004339,0.01243
106.6353,9.00085,17839e-8,0.0037053,0.1417,0.14541,0.003492,0.01163
113.9931,9.00075,1535e-7,0.0029825,0.13833,0.14131,0.00281,0.01088
121.8587,9.00066,13208e-8,0.0024007,0.13501,0.13741,0.002261,0.01017
130.2669,9.00059,11365e-8,0.0019324,0.13174,0.13367,0.00182,0.009518
139.2553,9.00052,97791e-9,0.0015554,0.12853,0.13009,0.001465,0.008903
148.864,9.00046,84146e-9,0.001252,0.12538,0.12663,0.001179,0.008329
159.1356,9.0004,72405e-9,0.0010078,0.12228,0.12329,9485e-7,0.007791
170.1159,9.00035,62302e-9,81119e-8,0.11925,0.12006,7633e-7,0.007288
181.8539,9.00031,53609e-9,65295e-8,0.11627,0.11692,6143e-7,0.006818
194.4018,9.00027,46129e-9,52558e-8,0.11335,0.11388,4944e-7,0.006378
207.8156,9.00024,39693e-9,42306e-8,0.11051,0.11093,3978e-7,0.005966
222.1548,9.00021,34155e-9,34053e-8,0.10772,0.10806,3202e-7,0.005581
237.4835,9.00019,29389e-9,27411e-8,0.10501,0.10528,2577e-7,0.005221
253.8699,9.00017,25289e-9,22064e-8,0.10237,0.10259,2074e-7,0.004884
271.3869,9.00015,2176e-8,1776e-7,0.099794,0.099972,1669e-7,0.004569
290.1126,9.00013,18724e-9,14296e-8,0.097295,0.097438,1343e-7,0.004274
310.1304,9.00011,16112e-9,11507e-8,0.094871,0.094986,1081e-7,0.003998
331.5294,9.0001,13864e-9,92625e-9,0.092524,0.092617,8697e-8,0.00374
354.4049,9.00009,1193e-8,74558e-9,0.090252,0.090327,6999e-8,0.003498
378.8588,9.00008,10265e-9,60014e-9,0.088059,0.088119,5633e-8,0.003273
405.0001,9.00007,88331e-10,48308e-9,0.085944,0.085992,4533e-8,0.003061
432.9451,9.00006,76007e-10,38885e-9,0.083907,0.083946,3648e-8,0.002864
