E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,2.55688,0,0,20878e-8,20878e-8,0,116
0.01142761,4.00996,0,0,27977e-8,27977e-8,0,108.5
0.012152,7.07227,0,0,36463e-8,36463e-8,0,102
0.01221612,7.6477,0,0,37292e-8,37292e-8,0,101.5
0.012338,9.53105,0,0,38904e-8,38904e-8,0,100.5
0.0123876,11.9746,0,0,39573e-8,39573e-8,0,100.1
0.012462,10.093,4.5247,382460,40593e-8,382460,0,99.49
0.012648,8.7553,5.0555,421040,43221e-8,421040,0,98.03
0.01305903,8.32095,6.4235,518140,49447e-8,518140,0,94.94
0.0139601,7.63879,10.449,788460,65222e-8,788460,0,88.81
0.01492335,4.68957,14.367,1014100,85584e-8,1014100,0,83.08
0.01595306,0.184234,16.5,1089500,0.0011172,1089500,0,77.72
0.01705382,4.52316,16.433,1015e3,0.001451,1015e3,0,72.7
0.01823053,8.33043,14.663,847230,0.001875,847230,0,68.01
0.01948844,10.7845,12.053,651470,0.0024105,651470,0,63.62
0.02083314,11.9786,9.3462,472570,0.0030835,472570,0,59.51
0.02227063,12.2589,6.9752,329920,0.0039247,329920,0,55.67
0.0238073,11.9916,5.0945,225410,0.0049706,225410,0,52.08
0.024794,11.6829,4.1883,177940,0.0057254,177940,0,50.01
0.0251735,11.5494,3.8917,162850,0.0060335,162850,0,49.25
0.0252747,11.5101,3.817,159080,0.0061173,159080,0,49.05
0.02545001,11.4521,3.6993,153110,0.0062643,153110,0,48.72
0.025806,11.3281,3.4612,141280,0.0065693,141280,0,48.04
0.02720606,10.8349,2.6975,104440,0.0078561,104440,0,45.57
0.02908327,10.2231,1.9988,72397,0.0098046,72397,0,42.63
0.03109002,9.66544,1.52,51499,0.012177,51499,0,39.88
0.03323523,9.17783,1.1966,37927,0.015052,37927,0,37.31
0.03552846,8.76122,0.98222,29122,0.018516,29122,0,34.9
0.03797993,8.40482,0.84376,23402,0.022671,23402,0,32.64
0.04060054,8.11116,0.75813,19670,0.027627,19670,0,30.54
0.04340198,7.86667,0.70911,17210,0.03351,17210,0,28.57
0.04639671,7.66343,0.68529,15559,0.040458,15559,0,26.72
0.04959809,7.49416,0.67864,14413,0.048622,14413,0,25
0.05302035,7.35244,0.68408,13591,0.058168,13591,0,23.38
0.05667876,7.23317,0.69799,12972,0.069272,12972,0,21.87
0.06058959,7.13172,0.71754,12475,0.082124,12475,0,20.46
0.06477028,7.04399,0.741,12051,0.096928,12051,0,19.14
0.06923942,6.96644,0.76735,11674,0.11389,11674,0,17.91
0.07401695,6.89605,0.79601,11328,0.13324,11328,0,16.75
0.07912411,6.83218,0.82669,11006,0.15519,11006,0,15.67
0.08458368,6.76853,0.8592,10700,0.17998,10700,0,14.66
0.09041995,6.70486,0.89335,10407,0.20782,10407,0,13.71
0.09665893,6.63892,0.92887,10123,0.23896,10123,0,12.83
0.1033284,6.56824,0.96534,9841.2,0.27359,9841.5,0,12
0.1104581,6.48974,1.002,9555.8,0.31193,9556.1,0,11.22
0.1180797,6.39944,1.0382,9261.8,0.35415,9262.2,0,10.5
0.1262272,6.29218,1.0731,8955.1,0.40044,8955.5,0,9.822
0.1349368,6.16102,1.1058,8632.4,0.45091,8632.9,0,9.188
0.1442475,5.99631,1.1354,8291.4,0.50568,8291.9,0,8.595
0.1542005,5.78428,1.161,7931.2,0.56481,7931.8,0,8.04
0.1648404,5.50443,1.1819,7552.4,0.62834,7553,0,7.521
0.1762144,5.12448,1.1973,7157.1,0.69623,7157.8,0,7.036
0.1883732,4.58949,1.2069,6748.8,0.76842,6749.6,0,6.582
0.2013709,3.79424,1.2104,6331.6,0.84479,6332.4,0,6.157
0.2152655,2.49575,1.2079,5910.7,0.92515,5911.6,0,5.76
0.2301188,0.113261,1.1996,5491.2,1.0093,5492.2,0,5.388
0.240296,4.75294,1.1754,5152.7,1.0657,5153.8,0,5.16
0.242354,7.01147,1.1692,5081.9,1.077,5083,0,5.116
0.243974,10.3826,1.1643,5026.9,1.0858,5028,0,5.082
0.2449548,16.3309,1.1613,4993.9,1.0912,4995,0,5.062
0.245997,13.1494,11.814,50586,1.0969,50587,0,5.04
0.2460635,12.9562,11.809,50555,1.0972,50556,0,5.039
0.246426,12.301,11.787,50384,1.0992,50385,0,5.031
0.2470527,12.9419,11.748,50089,1.1026,50090,0,5.019
0.2485365,8.06178,16.906,71651,1.1106,71652,0,4.989
0.250104,5.23505,16.766,70615,1.1191,70616,0,4.957
0.252246,2.88933,16.579,69233,1.1306,69234,0,4.915
0.2629708,2.70864,15.693,62860,1.1875,62861,0,4.715
0.2811158,6.72406,14.375,53864,1.2809,53865,0,4.41
0.3005128,8.87011,13.194,46247,1.3765,46248,0,4.126
0.3136,9.5278,12.497,41978,1.4385,41979,0,3.954
0.3184,9.275,12.259,40555,1.4607,40556,0,3.894
0.31968,8.6594,12.196,40188,1.4666,40189,0,3.878
0.3212482,9.36235,13.497,44257,1.4738,44258,0,3.859
0.3216,9.49472,13.48,44154,1.4754,44155,0,3.855
0.3264,10.4119,13.257,42784,1.4972,42786,0,3.799
0.3434143,11.9186,12.521,38405,1.5722,38407,0,3.61
0.3671099,13.228,11.611,33317,1.6712,33319,0,3.377
0.3924405,14.2235,10.75,28854,1.77,28856,0,3.159
0.4195189,15.0147,9.9311,24936,1.8681,24938,0,2.955
0.4484657,15.6524,9.1532,21499,1.9646,21501,0,2.765
0.4794098,16.1677,8.4154,18491,2.059,18493,0,2.586
0.5124891,16.582,7.7167,15861,2.1505,15863,0,2.419
