E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,6.03298,1.3926,107610,14704e-8,107610,0,116
0.01142761,6.07191,1.4821,107130,19954e-8,107130,0,108.5
0.01221612,6.11684,1.5754,106530,26931e-8,106530,0,101.5
0.01305903,6.16824,1.672,105760,36151e-8,105760,0,94.94
0.0139601,6.22652,1.7714,104820,48268e-8,104820,0,88.81
0.01492335,6.29198,1.8729,103670,64102e-8,103670,0,83.08
0.01595306,6.36478,1.9757,102300,84679e-8,102300,0,77.72
0.01705382,6.44492,2.0791,100710,0.0011127,100710,0,72.7
0.01823053,6.53219,2.1821,98873,0.0014545,98873,0,68.01
0.01948844,6.62612,2.2838,96802,0.0018914,96802,0,63.62
0.02083314,6.72589,2.3833,94499,0.0024469,94499,0,59.51
0.02227063,6.83025,2.4796,91974,0.0031492,91974,0,55.67
0.0238073,6.93728,2.572,89242,0.0040324,89242,0,52.08
0.02545001,7.04404,2.6595,86323,0.0051372,86323,0,48.72
0.02720606,7.14583,2.7415,83240,0.0065117,83240,0,45.57
0.02908327,7.23437,2.8172,80018,0.0082128,80018,0,42.63
0.03109002,7.29311,2.8862,76686,0.010307,76686,0,39.88
0.03323523,7.28097,2.948,73272,0.012871,73272,0,37.31
0.03552846,7.04435,3.0024,69808,0.015995,69808,0,34.9
0.037044,6.31229,3.0326,67625,0.01828,67625,0,33.47
0.037611,5.04483,3.0429,66831,0.01918,66831,0,32.96
0.0377622,3.35785,3.0455,66621,0.019424,66621,0,32.83
0.03797993,5.28829,6.4585,140470,0.019779,140470,0,32.64
0.037989,5.34875,6.4533,140320,0.019794,140320,0,32.64
0.038556,7.12733,6.145,131650,0.020736,131650,0,32.16
0.04060054,8.81634,5.2816,107460,0.024342,107460,0,30.54
0.04340198,9.44378,4.4661,85002,0.029813,85002,0,28.57
0.04639671,9.66967,3.9727,70730,0.03634,70730,0,26.72
0.04959809,9.79279,3.6535,60848,0.044087,60848,0,25
0.05302035,9.8731,3.4244,53352,0.053233,53352,0,23.38
0.05667876,9.92252,3.2483,47341,0.063978,47341,0,21.87
0.06058959,9.93366,3.1077,42369,0.076537,42369,0,20.46
0.06477028,9.84482,2.9948,38195,0.091139,38195,0,19.14
0.06517,9.81827,2.9856,37844,0.092597,37844,0,19.02
0.0661675,9.66616,2.9639,37002,0.096282,37002,0,18.74
0.0664335,9.48206,2.9583,36784,0.097275,36784,0,18.66
0.0668325,9.66842,3.3136,40957,0.098774,40957,0,18.55
0.06783,9.83442,3.3006,40195,0.10257,40195,0,18.28
0.06923942,9.92865,3.2845,39185,0.10803,39185,0,17.91
0.07401695,10.0868,3.2481,36250,0.12748,36250,0,16.75
0.07912411,10.1956,3.2329,33751,0.14975,33751,0,15.67
0.08458368,10.2928,3.2361,31604,0.17513,31604,0,14.66
0.09041995,10.3896,3.256,29746,0.2039,29746,0,13.71
0.09665893,10.4924,3.2903,28119,0.23636,28119,0,12.83
0.1033284,10.6054,3.3358,26668,0.27278,26668,0,12
0.1104581,10.7319,3.3885,25340,0.31347,25340,0,11.22
0.1180797,10.8633,3.4437,24091,0.35867,24091,0,10.5
0.1262272,11.0204,3.4966,22882,0.40865,22882,0,9.822
0.1349368,11.1921,3.5423,21685,0.46362,21685,0,9.188
0.1442475,11.3764,3.5763,20480,0.52379,20481,0,8.595
0.1542005,11.5703,3.5945,19256,0.58931,19257,0,8.04
0.1648404,11.7692,3.591,17995,0.6603,17996,0,7.521
0.1762144,11.9653,3.5633,16704,0.7368,16705,0,7.036
0.1883732,12.1513,3.5119,15400,0.81885,15401,0,6.582
0.2013709,12.3224,3.4384,14105,0.90637,14106,0,6.157
