E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.005194,10.5318,0,0,70183e-10,70183e-10,0,238.7
0.0052735,10.4639,0,0,76206e-10,76206e-10,0,235.1
0.0052947,10.3894,0,0,77877e-10,77877e-10,0,234.2
0.0053265,10.4604,0.14292,6683.5,80437e-10,6683.5,0,232.8
0.005406,10.5184,0.14344,6609.5,87123e-10,6609.5,0,229.3
0.01069,10.2397,0.25905,6036.3,25863e-8,6036.3,0,116
0.01142761,10.162,0.28489,6210,35003e-8,6210,0,108.5
0.01221612,10.0721,0.31469,6416.7,47131e-8,6416.7,0,101.5
0.01305903,9.9679,0.349,6657,63143e-8,6657,0,94.94
0.0139601,9.84691,0.38849,6931.9,84168e-8,6931.9,0,88.81
0.01492335,9.70585,0.4339,7242.5,0.0011164,7242.5,0,83.08
0.01595306,10.2087,0.48611,7590.2,0.0014733,7590.2,0,77.72
0.01705382,10.0135,0.54609,7976.3,0.0019349,7976.3,0,72.7
0.01823053,9.78076,0.61496,8402.6,0.0025285,8402.6,0,68.01
0.01948844,9.49946,0.694,8870.4,0.0032882,8870.4,0,63.62
0.02083314,9.15334,0.7846,9381.1,0.0042554,9381.1,0,59.51
0.02227063,8.71683,0.88828,9935.2,0.0054806,9935.2,0,55.67
0.0238073,8.14646,1.0065,10531,0.0070249,10531,0,52.08
0.02545001,7.361,1.1409,11167,0.0089614,11167,0,48.72
0.02720606,6.18552,1.2935,11843,0.011378,11843,0,45.57
0.02908327,4.13989,1.4661,12557,0.014378,12557,0,42.63
0.03109002,1.07371,1.6608,13306,0.018084,13306,0,39.88
0.031654,4.94686,1.7174,13514,0.019221,13514,0,39.17
0.0321385,14.4758,1.7665,13692,0.020233,13692,0,38.58
0.0322677,26.4192,1.7797,13739,0.020508,13739,0,38.42
0.0324615,13.2016,25.575,196250,0.020925,196250,0,38.19
0.032946,1.50865,24.276,183540,0.021989,183540,0,37.63
0.03323523,1.71508,23.547,176480,0.02264,176480,0,37.31
0.03552846,12.0535,18.798,131800,0.028214,131800,0,34.9
0.03797993,15.6441,15.152,99372,0.034998,99372,0,32.64
0.04060054,17.0816,12.365,75863,0.043217,75863,0,30.54
0.04340198,17.5084,10.336,59323,0.053124,59323,0,28.57
0.04639671,17.4405,8.9323,47956,0.06501,47956,0,26.72
