E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,8.43172,0,0,1281e-7,1281e-7,0,116
0.01142761,8.4201,0,0,1741e-7,1741e-7,0,108.5
0.01221612,8.40652,0,0,23532e-8,23532e-8,0,101.5
0.01305903,8.39057,0,0,31634e-8,31634e-8,0,94.94
0.0139601,8.37174,0,0,42297e-8,42297e-8,0,88.81
0.01492335,8.34938,0,0,5625e-7,5625e-7,0,83.08
0.01595306,8.32265,0,0,74409e-8,74409e-8,0,77.72
0.01705382,8.2904,0,0,97907e-8,97907e-8,0,72.7
0.01823053,8.25104,0,0,0.0012815,0.0012815,0,68.01
0.01948844,8.20232,0,0,0.0016686,0.0016686,0,63.62
0.02083314,8.14085,0,0,0.0021613,0.0021613,0,59.51
0.02227063,8.06127,0,0,0.002785,0.002785,0,55.67
0.0238073,7.95448,0,0,0.0035704,0.0035704,0,52.08
0.02545001,7.80327,0,0,0.004554,0.004554,0,48.72
0.02720606,7.56991,0,0,0.0057792,0.0057792,0,45.57
0.02908327,7.14726,0,0,0.0072971,0.0072971,0,42.63
0.03109002,5.98986,0,0,0.0091678,0.0091678,0,39.88
0.031654,5.06744,0,0,0.0097409,0.0097409,0,39.17
0.0321385,2.64257,0,0,0.01025,0.01025,0,38.58
0.0322677,0.572539,0,0,0.010389,0.010389,0,38.42
0.0324615,3.30677,6.4655,186430,0.010598,186430,0,38.19
0.032946,6.66886,5.649,160500,0.011134,160500,0,37.63
0.03323523,7.54411,5.2166,146920,0.011461,146920,0,37.31
0.03552846,9.63779,2.8403,74830,0.014257,74830,0,34.9
0.03797993,9.68356,1.6748,41275,0.017649,41275,0,32.64
0.04060054,9.47617,1.1417,26322,0.021742,26322,0,30.54
0.04340198,9.26018,0.87736,18922,0.026654,18922,0,28.57
0.04639671,9.06182,0.74331,14996,0.032521,14996,0,26.72
0.04959809,8.86608,0.68109,12854,0.03949,12854,0,25
0.052724,8.62098,0.66398,11788,0.046981,11788,0,23.52
0.05302035,8.58033,0.66389,11720,0.047726,11720,0,23.38
0.053531,8.46296,0.66425,11615,0.049023,11615,0,23.16
0.0537462,8.30602,0.66459,11574,0.049575,11574,0,23.07
0.054069,8.44091,0.95669,16562,0.050409,16562,0,22.93
0.054876,8.54012,0.96596,16477,0.052525,16477,0,22.59
0.05667876,8.57621,0.99135,16372,0.057409,16372,0,21.87
0.06058959,8.56318,1.0641,16439,0.068736,16439,0,20.46
0.06477028,8.53831,1.158,16735,0.081919,16735,0,19.14
0.06923942,8.52042,1.2694,17161,0.097182,17161,0,17.91
0.07401695,8.51531,1.3961,17655,0.11476,17655,0,16.75
0.07912411,8.52654,1.5357,18167,0.13492,18167,0,15.67
0.08458368,8.55692,1.6854,18651,0.1579,18651,0,14.66
0.09041995,8.60871,1.8415,19063,0.18397,19063,0,13.71
0.09665893,8.68337,1.9997,19365,0.2134,19365,0,12.83
0.1033284,8.77778,2.155,19521,0.24646,19521,0,12
0.1104581,8.89838,2.3021,19508,0.2834,19508,0,11.22
0.1180797,9.0395,2.4359,19309,0.32447,19309,0,10.5
0.1262272,9.19793,2.5515,18921,0.36991,18921,0,9.822
0.1349368,9.36968,2.644,18341,0.41992,18341,0,9.188
0.1442475,9.54736,2.7074,17569,0.47468,17569,0,8.595
