E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.009471535,2.89482,0,0,14636e-8,14636e-8,0,130.9
0.009616508,2.43653,0,0,15724e-8,15724e-8,0,128.9
0.009655167,1.93601,0,0,16024e-8,16024e-8,0,128.4
0.009713156,2.41962,0.95738,20294,16482e-8,20294,0,127.6
0.009858128,2.80732,0.94093,19652,17668e-8,19652,0,125.8
0.01069,3.01632,0.85572,16481,25723e-8,16481,0,116
0.01142761,2.81513,0.76359,13758,34852e-8,13758,0,108.5
0.01221612,2.31826,0.64656,10897,46983e-8,10897,0,101.5
0.012838,1.41314,0.55653,8925.4,58486e-8,8925.4,0,96.58
0.0130345,0.479375,0.52967,8366.6,62504e-8,8366.6,0,95.12
0.01305903,0.170913,0.52639,8299.1,63019e-8,8299.1,0,94.94
0.0130869,0.576446,0.52267,8222.9,63608e-8,8222.9,0,94.74
0.0131655,0.48965,2.5504,39884,65289e-8,39884,0,94.17
0.013362,1.35585,2.4444,37665,69631e-8,37665,0,92.79
0.0139601,1.81934,2.1538,31765,84106e-8,31765,0,88.81
0.01492335,1.26447,1.8083,24948,0.0011169,24948,0,83.08
0.014994,1.16047,1.7938,24632,0.0011394,24632,0,82.69
0.0152235,0.544732,1.7565,23756,0.0012144,23756,0,81.44
0.0152847,0.0942078,1.7489,23558,0.001235,23558,0,81.12
0.0153765,0.491862,2.9353,39304,0.0012664,39304,0,80.63
0.015606,0.917787,2.8917,38150,0.0013471,38150,0,79.45
0.01595306,1.01599,2.8481,36757,0.001476,36757,0,77.72
0.01705382,0.615267,2.8623,34556,0.0019408,34556,0,72.7
0.01823053,0.211345,3.1946,36079,0.0025397,36079,0,68.01
0.01948844,1.22195,3.8982,41184,0.0033073,41184,0,63.62
0.02083314,2.31842,5.0236,49647,0.004286,49647,0,59.51
0.02227063,3.38921,6.6455,61437,0.0055279,61437,0,55.67
0.0238073,4.27166,8.8266,76334,0.0070956,76334,0,52.08
0.02545001,4.7481,11.575,93643,0.0090649,93643,0,48.72
0.02720606,4.56925,14.806,112050,0.011526,112050,0,45.57
0.02908327,3.50478,18.312,129630,0.014588,129630,0,42.63
0.03109002,1.40836,21.773,144190,0.018376,144190,0,39.88
0.03323523,1.72,24.8,153630,0.023042,153630,0,37.31
0.03552846,5.70679,27.017,156560,0.02876,156560,0,34.9
0.03797993,10.2244,28.143,152560,0.035733,152560,0,32.64
0.04060054,14.8506,28.061,142300,0.044196,142300,0,30.54
0.04340198,19.178,26.836,127300,0.054418,127300,0,28.57
0.04639671,22.8632,24.683,109530,0.066704,109530,0,26.72
0.04959809,25.6983,21.909,90947,0.081401,90947,0,25
0.05302035,27.6143,18.838,73154,0.098897,73154,0,23.38
0.05667876,28.6585,15.762,57258,0.11963,57258,0,21.87
0.06058959,28.9544,12.896,43821,0.14408,43821,0,20.46
0.06477028,28.6433,10.368,32956,0.17277,32956,0,19.14
0.06923942,27.8132,8.2343,24485,0.20628,24485,0,17.91
0.073892,26.1391,6.5313,18198,0.24419,18198,0,16.78
0.07401695,26.0553,6.4917,18058,0.24525,18058,0,16.75
0.075023,24.8949,6.1837,16970,0.25386,16970,0,16.53
0.0753246,23.5501,6.0949,16660,0.25646,16660,0,16.46
0.075777,24.8694,8.5263,23166,0.2604,23166,0,16.36
0.076908,25.9023,8.1044,21696,0.27035,21696,0,16.12
0.07912411,26.3345,7.353,19133,0.29034,19133,0,15.67
0.08458368,26.1109,5.8588,14261,0.34228,14261,0,14.66
0.09041995,25.3542,4.707,10718,0.40181,10718,0,13.71
0.09665893,24.1818,3.8281,8154.1,0.46975,8154.6,0,12.83
0.097608,23.908,3.7182,7843.1,0.48045,7843.6,0,12.7
0.099102,23.1352,3.5558,7387.4,0.49749,7387.9,0,12.51
0.0995004,22.3738,3.5146,7272.5,0.50207,7273,0,12.46
0.100098,23.0489,4.8603,9997.1,0.50898,9997.6,0,12.39
0.101592,23.5242,4.685,9494.7,0.52639,9495.2,0,12.2
0.1033284,23.6206,4.4954,8957.4,0.54691,8957.9,0,12
0.1104581,23.2784,3.8498,7175.8,0.63414,7176.4,0,11.22
0.11613,22.6952,3.4384,6096,0.70673,6096.7,0,10.68
0.1179075,22.3619,3.3227,5802.1,0.73002,5802.8,0,10.52
0.1180797,22.3037,3.3118,5774.7,0.73229,5775.4,0,10.5
0.1183815,22.1224,3.2929,5727,0.73627,5727.7,0,10.47
0.1190925,22.2329,3.6236,6264.6,0.74568,6265.3,0,10.41
0.120344,22.2225,3.5593,6089.5,0.76234,6090.3,0,10.3
0.12087,22.1855,3.5332,6018.4,0.76938,6019.2,0,10.26
0.122186,22.0234,3.47,5847.2,0.78708,5848,0,10.15
0.1226772,21.8574,3.4473,5785.6,0.79372,5786.4,0,10.11
0.123414,21.9417,3.6815,6141.7,0.80371,6142.5,0,10.05
0.125256,21.9267,3.615,5942.1,0.82886,5942.9,0,9.898
0.1262272,21.8818,3.5824,5843.2,0.84221,5844,0,9.822
0.133574,21.3523,3.3886,5223.1,0.94527,5224,0,9.282
0.1349368,21.2226,3.3636,5132.2,0.96476,5133.2,0,9.188
0.1356185,21.1444,3.3524,5089.4,0.97455,5090.4,0,9.142
0.1361637,21.0446,3.3441,5056.6,0.9824,5057.6,0,9.106
0.1369815,21.0336,3.4424,5174.2,0.99421,5175.2,0,9.051
0.139026,20.9125,3.4222,5068.1,1.0239,5069.1,0,8.918
0.1442475,20.5035,3.4079,4864.2,1.1007,4865.3,0,8.595
0.1542005,19.6476,3.5226,4703.4,1.2509,4704.7,0,8.04
0.1648404,18.7015,3.8405,4796.9,1.416,4798.3,0,7.521
0.1762144,17.6979,4.3944,5134.4,1.5967,5136,0,7.036
0.1883732,16.6756,5.2206,5706.1,1.7935,5707.9,0,6.582
0.2013709,15.6886,6.3526,6495.2,2.0068,6497.2,0,6.157
0.2152655,14.8088,7.8117,7471.5,2.2369,7473.7,0,5.76
0.2301188,14.1292,9.5974,8586.8,2.4839,8589.3,0,5.388
0.245997,13.729,11.679,9774.6,2.748,9777.3,0,5.04
0.2629708,13.7031,14.004,10964,3.0288,10967,0,4.715
0.2811158,14.1194,16.464,12058,3.326,12061,0,4.41
0.3005128,15.0075,18.944,12979,3.6389,12983,0,4.126
0.3212482,16.3534,21.308,13656,3.9669,13660,0,3.859
0.3434143,18.0811,23.426,14045,4.3089,14049,0,3.61
0.3671099,20.0316,25.189,14127,4.6636,14132,0,3.377
0.378476,20.8453,25.854,14065,4.8295,14070,0,3.276
0.384269,21.0185,26.15,14011,4.913,14016,0,3.226
0.3858138,20.7765,26.224,13994,4.9352,13999,0,3.214
0.388131,21.3155,27.056,14352,4.9683,14357,0,3.194
0.3924405,21.9191,27.282,14313,5.0296,14318,0,3.159
0.393924,22.0824,27.357,14299,5.0506,14304,0,3.147
0.398468,22.5239,27.576,14249,5.1146,14254,0,3.112
0.404567,22.9375,27.848,14172,5.1999,14177,0,3.065
0.4061934,22.8421,27.916,14150,5.2224,14155,0,3.052
0.408633,23.332,28.524,14372,5.2562,14377,0,3.034
0.414732,24.1478,28.789,14292,5.3401,14297,0,2.99
0.4195189,24.6859,28.983,14224,5.4053,14229,0,2.955
0.4484657,27.6204,29.895,13725,5.7888,13731,0,2.765
0.4794098,30.4932,30.414,13062,6.1781,13068,0,2.586
0.5,33.7172,30.527,12570,6.4243,12577,0,2.48
0.5025,33.9239,30.529,12509,6.4537,12515,0,2.467
0.5050125,34.1295,30.528,12446,6.4831,12453,0,2.455
0.50753756,34.334,30.526,12383,6.5125,12390,0,2.443
0.51007525,34.5374,30.52,12319,6.542,12326,0,2.431
0.51262563,34.7395,30.513,12255,6.5714,12262,0,2.419
0.51518875,34.9403,30.503,12190,6.6008,12197,0,2.407
0.5177647,35.1398,30.492,12125,6.6303,12132,0,2.395
0.52035352,35.3378,30.478,12059,6.6597,12066,0,2.383
0.52295529,35.5342,30.461,11993,6.6892,11999,0,2.371
0.52557007,35.7291,30.443,11926,6.7186,11933,0,2.359
0.52819792,35.9224,30.423,11859,6.7481,11865,0,2.347
0.53083891,36.1139,30.4,11791,6.7775,11798,0,2.336
0.5334931,36.3036,30.376,11723,6.807,11730,0,2.324
0.53616057,36.4913,30.35,11654,6.8364,11661,0,2.312
0.53884137,36.6771,30.321,11586,6.8659,11593,0,2.301
0.54153558,36.8607,30.291,11517,6.8953,11523,0,2.289
0.54424325,37.0422,30.259,11447,6.9248,11454,0,2.278
0.54696447,37.2213,30.225,11377,6.9542,11384,0,2.267
0.54969929,37.3979,30.189,11307,6.9836,11314,0,2.255
0.55244779,37.572,30.152,11237,7.013,11244,0,2.244
0.55521003,37.7432,30.112,11167,7.0425,11174,0,2.233
0.55798608,37.9115,30.071,11096,7.0719,11103,0,2.222
0.56077601,38.0766,30.029,11025,7.1013,11032,0,2.211
0.56357989,38.2382,29.984,10954,7.1306,10961,0,2.2
0.56639779,38.3961,29.938,10883,7.16,10890,0,2.189
0.56922978,38.5499,29.891,10811,7.1894,10819,0,2.178
0.57207593,38.6992,29.842,10740,7.2187,10747,0,2.167
0.5749363,38.8434,29.791,10668,7.248,10676,0,2.156
0.57781099,38.9818,29.739,10597,7.2773,10604,0,2.146
0.58070004,39.1136,29.685,10525,7.3066,10532,0,2.135
0.58360354,39.2376,29.63,10453,7.3359,10461,0,2.124
0.58652156,39.3521,29.574,10382,7.3651,10389,0,2.114
0.58945417,39.455,29.516,10310,7.3943,10317,0,2.103
0.59240144,39.5428,29.457,10238,7.4235,10245,0,2.093
0.59536345,39.61,29.397,10166,7.4527,10174,0,2.082
0.59834026,39.6471,29.335,10094,7.4819,10102,0,2.072
0.60133196,39.635,29.272,10023,7.511,10030,0,2.062
0.60433862,39.5249,29.208,9950.9,7.5401,9958.4,0,2.052
0.60736032,39.0999,29.143,9879.3,7.5692,9886.9,0,2.041
0.60824487,38.7065,29.124,9858.4,7.5776,9866,0,2.038
