E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,1.89417,4.8055,183820,11514e-8,183820,0,116
0.01142761,2.09662,5.1028,182600,15865e-8,182600,0,108.5
0.01221612,2.32705,5.4019,180820,21741e-8,180820,0,101.5
0.01305903,2.58575,5.6998,178480,29628e-8,178480,0,94.94
0.0139601,2.87263,5.9931,175550,40158e-8,175550,0,88.81
0.01492335,3.18714,6.2786,172040,54136e-8,172040,0,83.08
0.01595306,3.52819,6.5531,167970,72588e-8,167970,0,77.72
0.01705382,3.89415,6.8134,163370,96809e-8,163370,0,72.7
0.01823053,4.28288,7.0566,158280,0.0012843,158280,0,68.01
0.01948844,4.69173,7.2804,152760,0.0016947,152760,0,63.62
0.02083314,5.11762,7.4824,146870,0.0022247,146870,0,59.51
0.02227063,5.5571,7.6611,140670,0.0029052,140670,0,55.67
0.0238073,6.00634,7.8152,134240,0.0037742,134240,0,52.08
0.02545001,6.46121,7.9443,127650,0.0048779,127650,0,48.72
0.02720606,6.91721,8.0481,120970,0.0062722,120970,0,45.57
0.02908327,7.36933,8.127,114270,0.0080242,114270,0,42.63
0.03109002,7.81174,8.1819,107620,0.010214,107620,0,39.88
0.03323523,8.23697,8.214,101060,0.012936,101060,0,37.31
0.03552846,8.63416,8.2249,94666,0.016302,94666,0,34.9
0.03797993,8.98459,8.2164,88465,0.020443,88465,0,32.64
0.04060054,9.24829,8.1907,82495,0.02551,82495,0,30.54
0.04340198,9.31015,8.1499,76786,0.031677,76786,0,28.57
0.04639671,8.53632,8.0962,71357,0.039146,71357,0,26.72
0.046942,8.00116,8.0857,70436,0.040604,70436,0,26.41
0.0476605,5.95081,8.0228,68835,0.042572,68835,0,26.01
0.0478521,3.21176,8.006,68416,0.043105,68416,0,25.91
0.0481395,6.39978,13.516,114820,0.043913,114820,0,25.76
0.048858,9.28778,13.044,109170,0.045969,109170,0,25.38
0.04959809,10.5693,12.595,103840,0.048142,103840,0,25
0.05302035,12.9851,10.918,84209,0.058924,84209,0,23.38
0.05667876,13.8997,9.7195,70124,0.071779,70124,0,21.87
0.06058959,14.401,8.8533,59751,0.087027,59751,0,20.46
0.06477028,14.736,8.1819,51656,0.10502,51656,0,19.14
0.06923942,14.9838,7.6317,45072,0.12615,45072,0,17.91
0.07401695,15.1694,7.1613,39564,0.15083,39564,0,16.75
0.07912411,15.2714,6.7471,34870,0.17951,34870,0,15.67
0.07938,15.2708,6.7282,34660,0.18101,34660,0,15.62
0.080595,15.2279,6.6405,33693,0.1882,33693,0,15.38
0.080919,15.148,6.6177,33443,0.19014,33443,0,15.32
0.081405,15.2468,6.7567,33941,0.19306,33941,0,15.23
