E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.009016,0.991623,0,0,0.0013099,0.0013099,0,137.5
0.009154,1.99965,0,0,0.0013815,0.0013815,0,135.4
0.0091908,3.16894,0,0,0.001401,0.001401,0,134.9
0.009246,2.00383,2.2815,741310,0.0014306,741310,0,134.1
0.009384,1.0002,2.2891,732860,0.0015063,732860,0,132.1
0.01069,0.547159,2.3575,662550,0.0023477,662550,0,116
0.01142761,0.87087,2.3922,628910,0.0029276,628910,0,108.5
0.01221612,1.13142,2.4252,596430,0.0036348,596430,0,101.5
0.01305903,1.35881,2.4553,564860,0.0044931,564860,0,94.94
0.0139601,1.56675,2.4814,534020,0.0055303,534020,0,88.81
0.01492335,1.76235,2.5024,503770,0.0067776,503770,0,83.08
0.01595306,1.94939,2.5171,474030,0.0082709,474030,0,77.72
0.01705382,2.12978,2.5248,444790,0.01005,444790,0,72.7
0.01823053,2.30416,2.5246,416030,0.012161,416030,0,68.01
0.01948844,2.47213,2.5157,387820,0.014654,387820,0,63.62
0.02083314,2.63228,2.4977,360190,0.017585,360190,0,59.51
0.02227063,2.78168,2.4704,333250,0.021014,333250,0,55.67
0.0238073,2.91376,2.4334,307080,0.025009,307080,0,52.08
0.02545001,3.00357,2.387,281780,0.029642,281780,0,48.72
0.0257838,3.00473,2.3769,276950,0.030628,276950,0,48.09
0.02617845,2.9644,2.3646,271370,0.031813,271370,0,47.36
0.02628369,2.89288,2.3613,269900,0.032132,269900,0,47.17
0.02644155,2.97828,2.5098,285170,0.032614,285170,0,46.89
0.0268362,3.06936,2.5052,280460,0.033832,280460,0,46.2
0.02720606,3.11898,2.501,276180,0.034992,276180,0,45.57
0.02908327,3.29678,2.481,256290,0.041141,256290,0,42.63
0.03109002,3.45322,2.4598,237700,0.048177,237700,0,39.88
0.03323523,3.60471,2.434,220020,0.056193,220020,0,37.31
0.03552846,3.75399,2.4027,203170,0.065284,203170,0,34.9
0.03797993,3.9019,2.3648,187060,0.075549,187060,0,32.64
0.04060054,4.04756,2.3181,171530,0.087089,171530,0,30.54
0.04340198,4.18906,2.2628,156630,0.1,156630,0,28.57
0.04639671,4.32493,2.1993,142410,0.11439,142410,0,26.72
0.04959809,4.45392,2.1284,128920,0.13036,128920,0,25
0.05302035,4.57503,2.051,116220,0.14798,116220,0,23.38
0.05667876,4.68748,1.9684,104340,0.16737,104340,0,21.87
0.06058959,4.79073,1.8816,93299,0.18858,93299,0,20.46
0.06477028,4.8845,1.7919,83116,0.2117,83116,0,19.14
0.06923942,4.9687,1.7005,73783,0.23678,73783,0,17.91
0.07401695,5.04344,1.6083,65282,0.26387,65282,0,16.75
0.07912411,5.1095,1.5166,57584,0.29299,57584,0,15.67
0.08458368,5.16622,1.426,50650,0.32416,50650,0,14.66
0.09041995,5.21458,1.3374,44437,0.35737,44437,0,13.71
0.09665893,5.2551,1.2514,38894,0.39259,38894,0,12.83
0.1033284,5.28833,1.1683,33969,0.42976,33969,0,12
0.1104581,5.31484,1.0886,29607,0.46881,29607,0,11.22
0.1180797,5.33491,1.012,25749,0.50965,25750,0,10.5
0.1262272,5.34874,0.93899,22349,0.55214,22350,0,9.822
0.1349368,5.35661,0.86967,19363,0.59615,19364,0,9.188
0.1442475,5.3587,0.80415,16748,0.64149,16749,0,8.595
0.1542005,5.35518,0.74248,14466,0.68797,14467,0,8.04
0.1648404,5.34609,0.68462,12477,0.73536,12478,0,7.521
0.1762144,5.3313,0.62932,10729,0.78344,10730,0,7.036
0.1883732,5.30915,0.57532,9175.6,0.83194,9176.4,0,6.582
0.2013709,5.27886,0.52549,7839.8,0.88058,7840.7,0,6.157
0.2152655,5.23972,0.47959,6693.3,0.92907,6694.2,0,5.76
0.2301188,5.1903,0.43741,5710.5,0.97712,5711.5,0,5.388
0.245997,5.12826,0.39869,4869.1,1.0244,4870.1,0,5.04
0.2629708,5.04985,0.36322,4149.5,1.0706,4150.6,0,4.715
0.2811158,4.94898,0.33075,3534.7,1.1155,3535.8,0,4.41
0.3005128,4.81524,0.30107,3009.8,1.1586,3011,0,4.126
0.3212482,4.62915,0.27396,2562.1,1.1998,2563.3,0,3.859
0.3434143,4.3485,0.24923,2180.4,1.2387,2181.6,0,3.61
0.3671099,3.85352,0.22669,1855.1,1.2751,1856.4,0,3.377
0.3924405,2.43899,0.20615,1578.2,1.3086,1579.5,0,3.159
0.393568,2.29017,0.20531,1567.3,1.31,1568.6,0,3.15
0.399592,0.666889,0.20092,1510.6,1.3172,1511.9,0,3.103
0.4011984,1.27959,0.19977,1496,1.319,1497.3,0,3.09
0.403608,0.743479,4.0314,30008,1.3218,30009,28530,3.072
0.409632,2.51867,3.9626,29062,1.3286,29063,27640,3.027
0.4195189,3.58763,3.8543,27602,1.3391,27603,26260,2.955
0.4484657,4.91711,3.5663,23891,1.3664,23892,22750,2.765
0.4794098,5.62761,3.286,20592,1.3902,20593,19620,2.586
0.5124891,6.10433,3.0109,17651,1.4104,17652,16830,2.419
0.5478508,6.44813,2.7458,15058,1.427,15059,14360,2.263
0.5856525,6.7035,2.4943,12796,1.4397,12797,12210,2.117
0.6260625,6.89525,2.2583,10837,1.4486,10838,10350,1.98
0.6692609,7.03922,2.0388,9152.1,1.4536,9153.6,8739,1.853
0.7154399,7.14645,1.836,7709.9,1.4547,7711.4,7362,1.733
0.7648052,7.22503,1.6498,6480.8,1.452,6482.3,6189,1.621
0.8175768,7.28114,1.4796,5437.2,1.4456,5438.6,5192,1.516
0.8739896,7.31959,1.3248,4553.8,1.4356,4555.2,4348,1.419
0.9342948,7.34418,1.1842,3808,1.422,3809.4,3635,1.327
0.9987612,7.35796,1.0571,3179.8,1.4051,3181.2,3035,1.241
1.067676,7.3634,0.94164,2649.6,1.385,2651,2529,1.161
1.141345,7.36196,0.83758,2204.7,1.362,2206.1,2105,1.086
1.220098,7.3554,0.74413,1832.3,1.3362,1833.6,1750,1.016
1.304285,7.34489,0.66043,1521.2,1.3079,1522.5,1453,0.9506
1.394281,7.33166,0.58564,1261.9,1.2773,1263.2,1205,0.8892
1.490486,7.31668,0.51897,1046.1,1.2448,1047.3,999.2,0.8318
