E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.009114,0.255482,0,0,38335e-9,38335e-9,0,136
0.0092535,1.31522,0,0,41467e-9,41467e-9,0,134
0.0092907,2.57675,0,0,42334e-9,42334e-9,0,133.4
0.0093465,1.23253,2.4746,99114,4366e-8,99114,0,132.7
0.009486,0.0888866,2.3409,92377,47112e-9,92377,0,130.7
0.01069,0.805089,1.5527,54375,86151e-9,54375,0,116
0.01142761,0.447887,1.4576,47747,11972e-8,47747,0,108.5
0.01221612,0.0465177,1.5479,47432,16544e-8,47432,0,101.5
0.01305903,0.638675,1.8001,51600,22733e-8,51600,0,94.94
0.0139601,1.31418,2.2301,59801,31064e-8,59801,0,88.81
0.01492335,2.0534,2.8761,72145,42213e-8,72145,0,83.08
0.01595306,2.81785,3.7878,88882,57048e-8,88882,0,77.72
0.01705382,3.54108,5.0153,110090,76675e-8,110090,0,72.7
0.01823053,4.12454,6.5929,135380,0.0010249,135380,0,68.01
0.01948844,4.44143,8.5207,163670,0.0013627,163670,0,63.62
0.02083314,4.35157,10.746,193100,0.001802,193100,0,59.51
0.02227063,3.72673,13.156,221140,0.0023703,221140,0,55.67
0.0238073,2.48166,15.578,244940,0.0031013,244940,0,52.08
0.02545001,0.601492,17.804,261880,0.0040364,261880,0,48.72
0.02720606,1.84418,19.625,270030,0.0052259,270030,0,45.57
0.02908327,4.65148,20.871,268640,0.0067309,268640,0,42.63
0.03109002,7.72864,21.439,258140,0.0086246,258140,0,39.88
0.03323523,10.7988,21.312,240050,0.010995,240050,0,37.31
0.03552846,13.6598,20.551,216540,0.013944,216540,0,34.9
0.03797993,16.1566,19.278,190010,0.017596,190010,0,32.64
0.04060054,18.1877,17.636,162610,0.022093,162610,0,30.54
0.04340198,19.7108,15.795,136230,0.027601,136230,0,28.57
0.04639671,20.7453,13.904,112180,0.034311,112180,0,26.72
0.04959809,21.3457,12.077,91154,0.042442,91154,0,25
0.05302035,21.578,10.39,73356,0.052244,73356,0,23.38
0.05667876,21.4957,8.882,58663,0.063999,58663,0,21.87
0.06058959,21.0974,7.5685,46761,0.078021,46761,0,20.46
0.06477028,20.0512,6.4461,37256,0.09466,37256,0,19.14
0.065562,19.594,6.2613,35751,0.098001,35751,0,18.91
0.0665655,18.1776,6.0383,33958,0.10232,33958,0,18.63
0.0668331,16.4471,5.9809,33500,0.10349,33500,0,18.55
0.0672345,18.353,9.3131,51853,0.10526,51853,0,18.44
0.068238,19.987,8.8611,48611,0.10974,48611,0,18.17
0.06923942,20.6144,8.4419,45642,0.1143,45642,0,17.91
0.07401695,21.4606,6.8057,34421,0.13737,34421,0,16.75
0.07912411,21.3777,5.6179,26579,0.16432,26579,0,15.67
0.08458368,21.0768,4.7652,21090,0.19565,21090,0,14.66
0.09041995,20.7147,4.1313,17104,0.23188,17104,0,13.71
0.09665893,20.3349,3.65,14136,0.27356,14136,0,12.83
0.1033284,19.9289,3.2803,11884,0.32126,11884,0,12
0.105448,19.7777,3.1855,11309,0.33707,11309,0,11.76
0.107062,19.5992,3.1194,10907,0.3493,10907,0,11.58
0.1074924,19.4588,3.1025,10805,0.35259,10805,0,11.53
0.108138,19.5484,3.3138,11472,0.35755,11472,0,11.47
0.109752,19.5803,3.2602,11120,0.37006,11120,0,11.3
0.1104581,19.5713,3.2381,10974,0.37559,10974,0,11.22
0.1180797,19.373,3.0421,9644.5,0.43714,9644.9,0,10.5
0.1262272,19.1492,2.8981,8594.9,0.50651,8595.4,0,9.822
0.1349368,18.933,2.7933,7749.3,0.58432,7749.9,0,9.188
0.1442475,18.7262,2.7191,7056.6,0.67113,7057.3,0,8.595
0.1542005,18.5253,2.6687,6478.6,0.7675,6479.4,0,8.04
0.1648404,18.3249,2.6363,5986.9,0.87393,5987.8,0,7.521
0.1762144,18.1169,2.6226,5571.4,0.99088,5572.4,0,7.036
0.1883732,17.9042,2.6536,5273.3,1.1187,5274.4,0,6.582
0.2013709,17.6951,2.691,5002.6,1.2578,5003.9,0,6.157
0.2152655,17.4569,2.7323,4751.5,1.4082,4752.9,0,5.76
0.2301188,17.1855,2.775,4514.3,1.5702,4515.9,0,5.388
0.245997,16.8631,2.8169,4286.7,1.7435,4288.4,0,5.04
0.2629708,16.4655,2.8562,4065.9,1.9282,4067.8,0,4.715
0.2811158,15.9582,2.8906,3849.3,2.1239,3851.4,0,4.41
0.3005128,15.2867,2.9178,3634.7,2.3301,3637,0,4.126
0.3212482,14.359,2.9368,3422.2,2.5462,3424.7,0,3.859
0.3434143,12.9964,2.9468,3212.3,2.7714,3215.1,0,3.61
0.3671099,10.7613,2.9475,3005.6,3.0048,3008.6,0,3.377
0.3924405,5.74265,2.9384,2802.9,3.2454,2806.1,0,3.159
0.395626,4.46424,2.9367,2778.7,3.2749,2782,0,3.134
0.4016815,0.152779,2.933,2733.4,3.3307,2736.7,0,3.087
0.40229,1.19614,2.9326,2728.9,3.3363,2732.2,0,3.082
0.4032963,4.5567,2.932,2721.5,3.3455,2724.8,0,3.074
0.4057185,1.56461,10.686,9860,3.3676,9863.4,0,3.056
0.4084475,1.12406,10.825,9920.8,3.3924,9924.2,0,3.036
0.4100895,3.26016,10.908,9957.7,3.4072,9961.1,0,3.023
0.411774,0.911513,16.362,14875,3.4224,14878,0,3.011
0.4125525,0.0686458,16.428,14907,3.4295,14910,0,3.005
0.41871,3.39588,16.954,15157,3.4846,15160,0,2.961
0.4195189,3.65174,17.024,15191,3.4918,15194,0,2.955
0.4484657,8.37082,19.663,16413,3.7427,16417,0,2.765
0.4794098,11.9797,22.013,17189,3.9966,17193,0,2.586
0.5124891,15.4735,23.387,17083,4.2519,17087,0,2.419
0.5478508,18.6093,23.936,16356,4.5069,16361,0,2.263
0.5856525,21.0086,23.768,15193,4.7597,15198,0,2.117
0.60417,21.3556,23.501,14561,4.8765,14566,0,2.052
0.6134175,20.4904,23.338,14242,4.933,14247,0,2.021
0.6158835,18.9637,23.292,14157,4.9479,14162,0,2.013
0.6195825,20.8403,26.48,15999,4.9701,16004,0,2.001
0.6260625,22.3481,26.351,15756,5.0086,15761,0,1.98
0.62883,22.7411,26.294,15653,5.0249,15658,0,1.972
0.637686,23.638,26.105,15325,5.0763,15330,0,1.944
0.6474465,24.011,25.888,14968,5.1318,14973,0,1.915
0.6500493,23.5362,25.828,14874,5.1464,14879,0,1.907
0.6539535,24.5866,27.128,15529,5.1682,15534,0,1.896
0.663714,25.9872,26.905,15175,5.2217,15180,0,1.868
