E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,11.8518,0,0,10672e-8,10672e-8,0,116
0.01142761,11.8252,0,0,14743e-8,14743e-8,0,108.5
0.01221612,11.7946,0,0,20255e-8,20255e-8,0,101.5
0.01305903,11.7594,0,0,27674e-8,27674e-8,0,94.94
0.0139601,11.7188,0,0,37607e-8,37607e-8,0,88.81
0.01492335,11.6719,0,0,50827e-8,50827e-8,0,83.08
0.01595306,11.6177,0,0,68327e-8,68327e-8,0,77.72
0.01705382,11.5549,0,0,91362e-8,91362e-8,0,72.7
0.01823053,11.4821,0,0,0.0012151,0.0012151,0,68.01
0.01948844,11.3973,0,0,0.0016077,0.0016077,0,63.62
0.02083314,11.2983,0,0,0.0021158,0.0021158,0,59.51
0.02227063,11.1823,0,0,0.0027701,0.0027701,0,55.67
0.0238073,11.046,0,0,0.003608,0.003608,0,52.08
0.02545001,10.8849,0,0,0.0046752,0.0046752,0,48.72
0.02720606,10.6935,0,0,0.0060271,0.0060271,0,45.57
0.02908327,10.4643,0,0,0.0077306,0.0077306,0,42.63
0.03109002,10.1874,0,0,0.0098654,0.0098654,0,39.88
0.03323523,9.84922,0,0,0.012527,0.012527,0,37.31
0.03552846,9.43029,0,0,0.015827,0.015827,0,34.9
0.03797993,8.90135,0,0,0.019898,0.019898,0,32.64
0.04060054,8.2157,0,0,0.024893,0.024893,0,30.54
0.04340198,7.29092,0,0,0.030991,0.030991,0,28.57
0.04639671,5.95148,0,0,0.038395,0.038395,0,26.72
0.048608,4.48414,0,0,0.044459,0.044459,0,25.51
0.049352,3.67328,0,0,0.046614,0.046614,0,25.12
0.04959809,2.55839,0,0,0.04734,0.04734,0,25
0.049848,3.20612,0.62754,4174.4,0.048083,4174.4,0,24.87
0.050592,2.78632,0.81817,5362.5,0.050335,5362.6,0,24.51
0.05302035,0.605141,1.8942,11846,0.05809,11846,0,23.38
0.05667876,2.9799,5.861,34289,0.070942,34289,0,21.87
0.06058959,4.41342,12.865,70404,0.086231,70404,0,20.46
0.06477028,1.57643,20.756,106260,0.10432,106260,0,19.14
0.06923942,5.22924,26.34,126140,0.12563,126140,0,17.91
0.07401695,13.5284,27.841,124730,0.15058,124730,0,16.75
0.07912411,20.7455,25.717,107770,0.17967,107770,0,15.67
0.08458368,25.6007,21.603,84689,0.2134,84689,0,14.66
0.09041995,28.0894,17.05,62528,0.25232,62528,0,13.71
0.09665893,28.8251,12.982,44535,0.29701,44535,0,12.83
0.1033284,28.4904,9.7369,31247,0.34805,31247,0,12
0.1104581,27.5842,7.3115,21949,0.40607,21949,0,11.22
0.1180797,26.3152,5.5642,15625,0.47168,15625,0,10.5
0.120246,25.839,5.1835,14294,0.49096,14294,0,10.31
0.1220865,25.155,4.8922,13287,0.50755,13288,0,10.16
0.1225773,24.5579,4.8191,13036,0.512,13037,0,10.11
0.1233135,25.0124,5.7654,15503,0.5187,15504,0,10.05
0.125154,25.2665,5.5146,14611,0.53559,14612,0,9.907
0.1262272,25.2677,5.3788,14130,0.54552,14131,0,9.822
0.1349368,24.7795,4.5057,11072,0.62819,11073,0,9.188
0.1442475,24.1393,3.9032,8972.6,0.7203,8973.3,0,8.595
0.1542005,23.5207,3.5,7526.4,0.8224,7527.2,0,8.04
0.1648404,22.9449,3.2395,6516.6,0.93502,6517.5,0,7.521
0.1762144,22.3849,3.0832,5801.8,1.0586,5802.9,0,7.036
0.182672,22.0302,3.0324,5504.5,1.13,5505.6,0,6.787
0.185468,21.7663,3.017,5393.9,1.1611,5395.1,0,6.685
0.1862136,21.5453,3.0134,5366,1.1694,5367.2,0,6.658
0.187332,21.7026,3.3918,6003.7,1.1819,6004.9,0,6.618
0.1883732,21.7597,3.3898,5967,1.1936,5968.2,0,6.582
0.190128,21.7817,3.3874,5907.8,1.2133,5909,0,6.521
0.2013709,21.6355,3.3965,5593,1.3402,5594.3,0,6.157
0.2152655,21.3975,3.4508,5315.5,1.4987,5317,0,5.76
0.2301188,21.1701,3.5381,5098.2,1.6692,5099.9,0,5.388
0.245997,20.959,3.6501,4920.1,1.8516,4922,0,5.04
0.2629708,20.7604,3.78,4766.3,2.0458,4768.3,0,4.715
0.2811158,20.5671,3.9218,4626,2.2514,4628.3,0,4.41
0.3005128,20.3694,4.0698,4490.7,2.4679,4493.2,0,4.126
0.3212482,20.1545,4.2182,4354,2.6948,4356.7,0,3.859
0.3434143,19.905,4.3612,4211.1,2.9312,4214,0,3.61
0.3671099,19.5966,4.493,4058.3,3.1762,4061.5,0,3.377
0.3924405,19.1892,4.608,3893.5,3.4287,3896.9,0,3.159
0.4195189,18.6426,4.7012,3715.9,3.6873,3719.6,0,2.955
0.4484657,17.8709,4.7685,3525.8,3.9508,3529.8,0,2.765
0.4794098,16.7376,4.8069,3324.7,4.2174,3328.9,0,2.586
0.5124891,14.9816,4.8143,3114.9,4.4856,3119.4,0,2.419
0.5478508,11.9899,4.7894,2898.8,4.7536,2903.6,0,2.263
0.5856525,5.63492,4.7339,2680.3,5.0196,2685.3,0,2.117
0.607012,3.38493,4.6924,2563.3,5.1609,2568.5,0,2.043
