E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,0.514761,0,0,15256e-8,15256e-8,0,116
0.01142761,0.433365,0,0,20627e-8,20627e-8,0,108.5
0.01221612,0.333357,0,0,2773e-7,2773e-7,0,101.5
0.01305903,0.208132,0,0,37071e-8,37071e-8,0,94.94
0.0139601,0.0470096,0,0,49283e-8,49283e-8,0,88.81
0.01492335,0.169204,0,0,65155e-8,65155e-8,0,83.08
0.01595306,0.481386,0,0,85665e-8,85665e-8,0,77.72
0.01705382,1.01047,0,0,0.0011202,0.0011202,0,72.7
0.017934,1.97188,0,0,0.0013664,0.0013664,0,69.13
0.0182085,2.99087,0,0,0.00145,0.00145,0,68.09
0.01823053,3.18853,0,0,0.0014568,0.0014568,0,68.01
0.0182817,4.13413,0,0,0.0014728,0.0014728,0,67.82
0.0183915,3.04138,2.2083,250390,0.0015075,250390,0,67.41
0.018666,2.12394,2.2523,251630,0.0015967,251630,0,66.42
0.01948844,1.40016,2.3856,255270,0.0018844,255270,0,63.62
0.02083314,0.964316,2.6068,260940,0.0024245,260940,0,59.51
0.02227063,0.695045,2.8426,266170,0.0031029,266170,0,55.67
0.0238073,0.470803,3.0893,270600,0.0039501,270600,0,52.08
0.02545001,0.254421,3.3431,273930,0.0050023,273930,0,48.72
0.02720606,0.0293826,3.5995,275900,0.0063019,275900,0,45.57
0.02908327,0.212777,3.8537,276320,0.0078981,276320,0,42.63
0.03109002,0.476291,4.1006,275050,0.0098478,275050,0,39.88
0.03323523,0.762562,4.3349,272e3,0.012216,272e3,0,37.31
0.03552846,1.07065,4.5515,267150,0.015078,267150,0,34.9
0.03797993,1.39717,4.7454,260550,0.018517,260550,0,32.64
0.04060054,1.7349,4.9122,252310,0.022627,252310,0,30.54
0.04340198,2.06269,5.0483,242560,0.027512,242560,0,28.57
0.0441,2.12873,5.076,240030,0.028808,240030,0,28.11
0.044775,2.15951,5.1005,237550,0.03009,237550,0,27.69
0.044955,2.1216,5.1067,236890,0.030437,236890,0,27.58
0.045225,2.21023,5.2321,241260,0.030961,241260,0,27.41
0.0459,2.33986,5.2606,239e3,0.032291,239e3,0,27.01
0.04639671,2.41484,5.2805,237340,0.033289,237340,0,26.72
0.04959809,2.83688,5.3892,226590,0.040082,226590,0,25
0.05302035,3.2525,5.4705,215160,0.048027,215160,0,23.38
0.05667876,3.67274,5.5205,203110,0.057273,203110,0,21.87
0.06058959,4.09378,5.5384,190620,0.067973,190620,0,20.46
0.06477028,4.51362,5.5237,177840,0.080292,177840,0,19.14
0.06923942,4.92887,5.4767,164950,0.094399,164950,0,17.91
0.07401695,5.33657,5.3983,152090,0.11047,152090,0,16.75
0.07912411,5.73279,5.286,139320,0.12868,139320,0,15.67
0.08458368,6.11057,5.1415,126760,0.1492,126760,0,14.66
0.09041995,6.46494,4.9692,114600,0.17222,114600,0,13.71
0.09665893,6.79261,4.7741,103e3,0.19789,103e3,0,12.83
0.1033284,7.09156,4.5611,92050,0.22637,92050,0,12
0.1104581,7.36082,4.335,81840,0.25781,81840,0,11.22
0.1180797,7.60028,4.1003,72414,0.29232,72414,0,10.5
0.1262272,7.81058,3.8613,63791,0.33002,63791,0,9.822
0.1349368,7.99292,3.6215,55968,0.37096,55968,0,9.188
0.1442475,8.14807,3.3842,48925,0.4152,48925,0,8.595
0.1542005,8.27968,3.152,42627,0.46275,42627,0,8.04
0.1648404,8.38901,2.927,37029,0.51358,37030,0,7.521
0.1762144,8.47827,2.7109,32081,0.56761,32082,0,7.036
0.1883732,8.54971,2.5047,27728,0.62473,27729,0,6.582
0.2013709,8.60523,2.3089,23910,0.68479,23911,0,6.157
0.2152655,8.64653,2.1241,20577,0.74758,20578,0,5.76
0.2301188,8.67533,1.9506,17677,0.81285,17678,0,5.388
0.245997,8.69321,1.7886,15162,0.8803,15163,0,5.04
0.2629708,8.70161,1.6378,12988,0.94959,12989,0,4.715
0.2811158,8.70179,1.498,11112,1.0203,11113,0,4.41
0.3005128,8.69485,1.3688,9498.4,1.0921,9499.5,0,4.126
0.3212482,8.68175,1.2497,8112.2,1.1644,8113.4,0,3.859
0.3434143,8.66338,1.1402,6923.5,1.2368,6924.7,0,3.61
0.3671099,8.63782,1.0288,5844,1.3088,5845.3,0,3.377
0.3924405,8.60277,0.92751,4928.6,1.3798,4930,0,3.159
0.4195189,8.55918,0.83571,4154.1,1.4494,4155.5,0,2.955
0.4484657,8.50711,0.75265,3499.8,1.5168,3501.3,0,2.765
0.4794098,8.44583,0.67764,2947.6,1.5817,2949.2,0,2.586
0.5124891,8.37371,0.60999,2482.1,1.6435,2483.7,0,2.419
0.5478508,8.2879,0.54905,2089.9,1.7017,2091.6,0,2.263
0.5856525,8.18372,0.49421,1759.8,1.7558,1761.6,0,2.117
0.6260625,8.05325,0.4449,1481.9,1.8054,1483.7,0,1.98
0.6692609,7.88235,0.40059,1248.2,1.85,1250,0,1.853
0.7154399,7.64279,0.36079,1051.6,1.8893,1053.5,0,1.733
0.7648052,7.26655,0.32506,886.32,1.9231,888.24,0,1.621
0.8175768,6.51081,0.29299,747.31,1.951,749.26,0,1.516
0.849562,5.3179,0.27594,677.32,1.9643,679.28,0,1.459
0.8625655,3.62497,0.26917,650.76,1.9691,652.73,0,1.437
0.8660331,1.59294,0.26742,643.92,1.9703,645.89,0,1.432
0.8712345,3.70829,4.2677,10215,1.972,10217,9581,1.423
0.8739896,4.35896,4.251,10143,1.9729,10145,9514,1.419
0.884238,5.56519,4.1899,9881.3,1.9761,9883.3,9272,1.402
0.9342948,7.48184,3.913,8733.9,1.9887,8735.9,8207,1.327
0.9987612,8.47076,3.5924,7500.6,1.9982,7502.6,7058,1.241
1.067676,9.07296,3.2552,6357.9,2.0015,6359.9,5993,1.161
