E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.005104943,6.39581,0,0,7352e-9,7352e-9,0,242.9
0.005183079,6.22399,0,0,79793e-10,79793e-10,0,239.2
0.005203916,6.06267,0,0,81534e-10,81534e-10,0,238.3
0.005235171,6.1935,0.29128,12574,84199e-10,12574,0,236.8
0.005313308,6.27314,0.29108,12380,91158e-10,12380,0,233.3
0.005941418,5.68875,0.29183,11100,16452e-9,11100,0,208.7
0.006032358,5.20729,0.29392,11011,17806e-9,11011,0,205.5
0.006056608,4.66114,0.2946,10992,18181e-9,10992,0,204.7
0.006092984,5.19845,1.353,50183,18755e-9,50183,0,203.5
0.006183924,5.64768,1.3515,49391,20251e-9,49391,0,200.5
0.01069,5.27266,3.4278,72464,28802e-8,72464,0,116
0.01142761,5.29226,4.0421,79935,38882e-8,79935,0,108.5
0.01221612,5.41943,4.7143,87210,52227e-8,87210,0,101.5
0.01305903,5.67608,5.4183,93764,69803e-8,93764,0,94.94
0.0139601,6.0766,6.1198,99067,92833e-8,99067,0,88.81
0.01492335,6.62422,6.7783,102640,0.0012285,102640,0,83.08
0.01595306,7.32014,7.3518,104140,0.0016179,104140,0,77.72
0.01705382,8.11734,7.8016,103380,0.0021202,103380,0,72.7
0.01823053,9.03318,8.0975,100380,0.0027651,100380,0,68.01
0.01948844,9.93792,8.2213,95333,0.0035889,95333,0,63.62
0.02083314,10.825,8.169,88613,0.0046357,88613,0,59.51
0.02227063,11.646,7.9498,80669,0.0059596,80669,0,55.67
0.0238073,12.356,7.5848,71997,0.0076253,71997,0,52.08
0.02545001,12.9157,7.1023,63066,0.0097108,63066,0,48.72
0.02720606,13.2835,6.5331,54267,0.012309,54267,0,45.57
0.02908327,13.4089,5.9161,45970,0.01553,45970,0,42.63
0.03109002,13.1912,5.2858,38422,0.019504,38422,0,39.88
0.03323523,12.1962,4.6699,31754,0.024383,31754,0,37.31
0.033908,11.3408,4.4909,29930,0.02605,29930,0,36.56
0.034427,9.48514,4.3575,28604,0.027383,28604,0,36.01
0.0345654,7.26152,4.3227,28261,0.027745,28261,0,35.87
0.034773,9.56931,8.6457,56187,0.028293,56187,0,35.66
0.035292,11.5804,8.4385,54035,0.029692,54035,0,35.13
0.03552846,12.012,8.3464,53089,0.030343,53089,0,34.9
0.03797993,13.7977,7.4692,44443,0.03759,44443,0,32.64
0.039788,14.0851,6.8764,39056,0.043525,39056,0,31.16
0.040397,13.8521,6.6792,37365,0.045638,37365,0,30.69
0.0405594,13.4579,6.6271,36924,0.046212,36924,0,30.57
0.04060054,12.3158,7.4507,41471,0.046358,41471,0,30.54
0.040803,13.9357,7.3752,40847,0.04708,40847,0,30.39
0.041412,14.3817,7.1514,39026,0.049289,39026,0,29.94
0.04340198,14.6487,6.459,33631,0.056916,33631,0,28.57
0.044688,14.2887,6.0458,30574,0.062176,30574,0,27.74
0.045372,13.4221,5.8392,29084,0.065081,29084,0,27.33
0.0455544,12.3252,5.7861,28704,0.065868,28704,0,27.22
0.045828,13.4803,7.8921,38917,0.067058,38917,0,27.05
