E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.0082516,1.55864,0,0,37164e-9,37164e-9,0,150.3
0.0083779,1.50947,0,0,39696e-9,39696e-9,0,148
0.00841158,1.45794,0,0,40392e-9,40392e-9,0,147.4
0.0084621,1.50266,0.097318,53699,41452e-9,53699,0,146.5
0.0085884,1.53756,0.10286,55921,44188e-9,55921,0,144.4
0.01069,1.5848,0.21247,92803,11073e-8,92803,0,116
0.01142761,1.60258,0.24694,100900,14508e-8,100900,0,108.5
0.01221612,1.62546,0.2787,106530,18921e-8,106530,0,101.5
0.01305903,1.65269,0.3066,109620,24559e-8,109620,0,94.94
0.0139601,1.68318,0.32988,110340,31727e-8,110340,0,88.81
0.01492335,1.71575,0.3482,108950,40794e-8,108950,0,83.08
0.01595306,1.74924,0.36151,105810,52203e-8,105810,0,77.72
0.01705382,1.78263,0.37006,101320,66485e-8,101320,0,72.7
0.01823053,1.81506,0.37426,95856,84272e-8,95856,0,68.01
0.01948844,1.84585,0.37463,89757,0.0010631,89757,0,63.62
0.02083314,1.87451,0.37173,83316,0.0013348,83316,0,59.51
0.02227063,1.90068,0.36615,76767,0.001668,76767,0,55.67
0.0238073,1.92412,0.35841,70294,0.0020745,70294,0,52.08
0.02545001,1.94468,0.349,64030,0.002568,64030,0,48.72
0.02720606,1.9623,0.33833,58066,0.003164,58066,0,45.57
0.02908327,1.97692,0.32677,52462,0.0038801,52462,0,42.63
0.03109002,1.9885,0.31461,47249,0.0047363,47249,0,39.88
0.03323523,1.997,0.30208,42439,0.0057547,42439,0,37.31
0.03552846,2.00234,0.28933,38024,0.00696,38024,0,34.9
0.03797993,2.00432,0.27642,33983,0.0083792,33983,0,32.64
0.04060054,2.00267,0.26351,30305,0.010042,30305,0,30.54
0.04340198,1.99706,0.2507,26970,0.011981,26970,0,28.57
0.04639671,1.98704,0.23807,23959,0.014229,23959,0,26.72
0.04959809,1.97202,0.22569,21247,0.016824,21247,0,25
0.05302035,1.9512,0.2136,18811,0.019805,18811,0,23.38
0.05667876,1.92346,0.20184,16628,0.023211,16628,0,21.87
0.06058959,1.88729,0.19044,14676,0.027084,14676,0,20.46
0.06477028,1.84054,0.17941,12933,0.031465,12933,0,19.14
0.06923942,1.78009,0.16876,11381,0.036398,11381,0,17.91
0.07401695,1.70124,0.15851,9999.1,0.041925,9999.1,0,16.75
0.07912411,1.59647,0.14865,8772.3,0.048085,8772.3,0,15.67
0.08458368,1.4529,0.13921,7684.7,0.054919,7684.8,0,14.66
0.09041995,1.24579,0.13017,6722,0.06246,6722.1,0,13.71
0.09665893,0.918719,0.12155,5871.5,0.070743,5871.6,0,12.83
0.1033284,0.291953,0.11333,5121.4,0.079795,5121.5,0,12
0.10878,1.10059,0.10728,4605.1,0.087308,4605.2,0,11.4
0.1104581,2.81138,0.10553,4461,0.089636,4461.1,0,11.22
0.110889,4.79732,0.10509,4425,0.090236,4425.1,0,11.18
0.111555,2.70425,4.0732,170490,0.091162,170490,166100,11.11
0.11322,0.867705,4.007,165250,0.093483,165250,161e3,10.95
0.1180797,0.743908,3.8249,151250,0.10028,151250,147400,10.5
0.1262272,1.85031,3.5508,131350,0.11175,131350,128e3,9.822
0.1349368,2.50334,3.285,113670,0.12402,113670,110700,9.188
0.1442475,2.95829,3.0279,98012,0.1371,98012,95480,8.595
0.1542005,3.29619,2.7813,84219,0.15097,84219,82020,8.04
0.1648404,3.55465,2.5461,72122,0.1656,72122,70240,7.521
0.1762144,3.75464,2.3237,61572,0.18094,61572,59970,7.036
0.1883732,3.9099,2.1149,52422,0.19695,52422,51060,6.582
0.2013709,4.03003,1.9199,44519,0.21357,44519,43360,6.157
0.2152655,4.12212,1.7389,37718,0.23073,37718,36740,5.76
0.2301188,4.19162,1.5715,31887,0.24834,31887,31060,5.388
0.245997,4.24285,1.4173,26902,0.26631,26902,26210,5.04
0.2629708,4.27928,1.2758,22654,0.28456,22654,22070,4.715
0.2811158,4.30376,1.1464,19042,0.30296,19042,18550,4.41
0.3005128,4.31861,1.0285,15980,0.3214,15980,15560,4.126
0.3212482,4.32576,0.92117,13389,0.33977,13389,13040,3.859
0.3434143,4.32684,0.82386,11202,0.35794,11202,10910,3.61
0.3671099,4.32314,0.73579,9358.5,0.37578,9358.9,9113,3.377
0.3924405,4.31578,0.65626,7808.2,0.39318,7808.6,7603,3.159
0.4195189,4.30567,0.58459,6506.5,0.41,6506.9,6335,2.955
0.4484657,4.29356,0.52011,5415.2,0.42612,5415.6,5272,2.765
0.4794098,4.28005,0.46212,4500.8,0.44144,4501.2,4381,2.586
0.5124891,4.26557,0.41004,3735.9,0.45582,3736.4,3636,2.419
0.5478508,4.2505,0.36339,3097.1,0.46918,3097.6,3014,2.263
0.5856525,4.23517,0.32168,2564.7,0.48142,2565.2,2495,2.117
0.6260625,4.21985,0.28447,2121.6,0.49245,2122.1,2064,1.98
0.6692609,4.20476,0.25134,1753.5,0.50221,1754,1705,1.853
0.7154399,4.19008,0.22187,1448.1,0.51062,1448.6,1408,1.733
0.7648052,4.17592,0.19572,1194.9,0.51766,1195.4,1162,1.621
0.8175768,4.1624,0.17254,985.37,0.52328,985.89,957.7,1.516
0.8739896,4.14957,0.15201,812.1,0.52746,812.63,789.1,1.419
0.9342948,4.13749,0.13385,668.96,0.5302,669.49,649.8,1.327
0.9987612,4.12618,0.11782,550.81,0.53152,551.34,534.9,1.241
1.067676,4.11586,0.10297,450.31,0.53143,450.84,437.3,1.161
1.141345,4.10588,0.089977,368.1,0.52997,368.63,357.5,1.086
1.220098,4.09645,0.078625,300.9,0.52718,301.43,292.2,1.016
1.304285,4.08767,0.068705,245.96,0.52313,246.48,238.8,0.9506
1.394281,4.07955,0.060037,201.06,0.51788,201.58,195.2,0.8892
1.490486,4.07207,0.052463,164.35,0.51152,164.86,159.6,0.8318
1.593329,4.06521,0.045844,134.35,0.50412,134.85,130.5,0.7781
1.703269,4.05894,0.04006,109.82,0.49577,110.32,106.6,0.7279
1.820795,4.05324,0.035006,89.769,0.48658,90.256,87.17,0.6809
1.94643,4.04805,0.030589,73.38,0.47664,73.857,71.25,0.637
2.080733,4.04336,0.02673,59.983,0.46604,60.449,58.24,0.5959
2.224304,4.03909,0.023204,48.71,0.45491,49.165,47.29,0.5574
2.377781,4.03518,0.020139,39.548,0.44332,39.991,38.38,0.5214
2.541848,4.03162,0.01748,32.11,0.43139,32.541,31.16,0.4878
2.717235,4.02839,0.015171,26.07,0.4192,26.489,25.29,0.4563
2.904724,4.02551,0.013168,21.167,0.40686,21.574,20.53,0.4268
3.10515,4.02306,0.011388,17.124,0.39444,17.518,16.61,0.3993
3.319406,4.02063,0.0098151,13.806,0.38204,14.188,13.39,0.3735
3.548445,4.01844,0.0084596,11.132,0.36973,11.502,10.79,0.3494
3.793288,4.01646,0.0072914,8.9752,0.35757,9.3328,8.699,0.3269
4.055024,4.01468,0.0062835,7.2353,0.34563,7.5809,7.012,0.3058
4.334821,4.01308,0.0054148,5.8325,0.33397,6.1665,5.653,0.286
4.633924,4.01165,0.0046662,4.7018,0.32264,5.0244,4.557,0.2676
4.953664,4.01037,0.0040211,3.7902,0.31167,4.1019,3.673,0.2503
5.295467,4.00923,0.0034651,3.0554,0.30111,3.3565,2.961,0.2341
5.660855,4.0082,0.0029861,2.463,0.29098,2.754,2.387,0.219
6.051453,4.00729,0.0025732,1.9855,0.2813,2.2668,1.924,0.2049
6.469004,4.00647,0.0022175,1.6006,0.27209,1.8727,1.551,0.1917
6.915365,4.00574,0.0019109,1.2903,0.26336,1.5537,1.25,0.1793
7.392525,4.0051,0.0016467,1.0401,0.25511,1.2952,1.008,0.1677
7.902609,4.00452,0.0014191,0.83845,0.24735,1.0858,0.8126,0.1569
8.44789,4.00401,0.0012229,0.6759,0.24006,0.91596,0.655,0.1468
9.030794,4.00356,0.0010525,0.54417,0.23323,0.7774,0.5274,0.1373
9.653919,4.00316,90177e-8,0.43616,0.22687,0.66303,0.4226,0.1284
10.32004,4.0028,77264e-8,0.34958,0.22094,0.57052,0.3387,0.1201
11.03212,4.00248,662e-6,0.28019,0.21543,0.49562,0.2714,0.1124
11.79334,4.00219,56721e-8,0.22457,0.21032,0.43489,0.2175,0.1051
12.60708,4.00194,48599e-8,0.18,0.20559,0.38559,0.1743,0.09834
13.47697,4.00171,4164e-7,0.14427,0.20122,0.34549,0.1397,0.092
14.40688,4.00151,35677e-8,0.11563,0.19717,0.3128,0.112,0.08606
15.40095,4.00134,30569e-8,0.092679,0.19343,0.28611,0.08973,0.0805
16.46362,4.00118,26192e-8,0.074282,0.18997,0.26425,0.07191,0.07531
17.59961,4.00104,22441e-8,0.059538,0.18677,0.24631,0.05763,0.07045
18.81398,4.00092,19228e-8,0.04772,0.18379,0.23151,0.04619,0.0659
20.11215,4.00081,16475e-8,0.038248,0.18102,0.21927,0.03701,0.06165
21.49988,4.00072,14116e-8,0.030656,0.17844,0.2091,0.02966,0.05767
22.98338,4.00063,12094e-8,0.024571,0.17602,0.20059,0.02377,0.05395
24.56923,4.00056,10363e-8,0.019694,0.17373,0.19342,0.01905,0.05046
26.2645,4.00049,88788e-9,0.015785,0.17157,0.18736,0.01527,0.04721
28.07676,4.00043,7594e-8,0.012629,0.16951,0.18214,0.01221,0.04416
30.01405,4.00038,64915e-9,0.010099,0.16752,0.17762,0.009764,0.04131
32.08502,4.00034,5549e-8,0.0080753,0.16561,0.17369,0.007806,0.03864
34.29889,4.0003,47433e-9,0.0064573,0.16374,0.1702,0.00624,0.03615
36.66551,4.00026,40546e-9,0.0051635,0.16192,0.16708,0.004989,0.03381
39.19543,4.00023,3466e-8,0.0041289,0.16011,0.16424,0.003988,0.03163
41.89992,4.0002,29628e-9,0.0033017,0.15833,0.16163,0.003188,0.02959
44.79101,4.00018,25326e-9,0.0026401,0.15654,0.15918,0.002549,0.02768
47.88159,4.00016,21649e-9,0.0021112,0.15475,0.15686,0.002038,0.02589
51.18542,4.00014,18512e-9,0.0016887,0.15295,0.15464,0.001629,0.02422
54.71721,4.00012,15845e-9,0.0013522,0.15113,0.15248,0.001304,0.02266
58.4927,4.00011,13563e-9,0.0010827,0.14928,0.15036,0.001044,0.0212
62.5287,4.00009,1161e-8,86693e-8,0.14741,0.14828,836e-6,0.01983
66.84318,4.00008,99374e-10,69417e-8,0.1455,0.14619,6692e-7,0.01855
71.45536,4.00007,85061e-10,55584e-8,0.14357,0.14413,5358e-7,0.01735
76.38578,4.00006,7281e-9,44507e-8,0.14159,0.14204,4289e-7,0.01623
81.6564,4.00006,62323e-10,35638e-8,0.13958,0.13994,3434e-7,0.01518
87.29069,4.00005,53347e-10,28536e-8,0.13753,0.13782,2749e-7,0.0142
93.31374,4.00004,45664e-10,22849e-8,0.13544,0.13567,2201e-7,0.01329
99.75239,4.00004,39087e-10,18296e-8,0.13332,0.1335,1762e-7,0.01243
106.6353,4.00003,33457e-10,1465e-7,0.13116,0.13131,141e-6,0.01163
113.9931,4.00003,28639e-10,11731e-8,0.12896,0.12908,1129e-7,0.01088
121.8587,4.00003,24514e-10,93931e-9,0.12674,0.12683,9038e-8,0.01017
130.2669,4.00002,20984e-10,75214e-9,0.12448,0.12456,7235e-8,0.009518
139.2553,4.00002,17962e-10,60226e-9,0.1222,0.12226,5792e-8,0.008903
148.864,4.00002,15375e-10,48225e-9,0.11989,0.11994,4637e-8,0.008329
159.1356,4.00002,13161e-10,38615e-9,0.11756,0.1176,3712e-8,0.007791
170.1159,4.00001,11265e-10,3092e-8,0.11522,0.11525,2972e-8,0.007288
181.8539,4.00001,96428e-11,24759e-9,0.11286,0.11288,2379e-8,0.006818
194.4018,4.00001,82541e-11,19825e-9,0.11048,0.1105,1905e-8,0.006378
207.8156,4.00001,70654e-11,15875e-9,0.1081,0.10812,1525e-8,0.005966
222.1548,4.00001,60479e-11,12712e-9,0.10571,0.10572,1221e-8,0.005581
237.4835,4.00001,5177e-10,10179e-9,0.10332,0.10333,9771e-9,0.005221
253.8699,4.00001,44314e-11,81504e-10,0.10093,0.10094,7823e-9,0.004884
271.3869,4.00001,37933e-11,65264e-10,0.098543,0.09855,6262e-9,0.004569
290.1126,4,3247e-10,52259e-10,0.096164,0.096169,5013e-9,0.004274
310.1304,4,27794e-11,41846e-10,0.093795,0.093799,4013e-9,0.003998
331.5294,4,23792e-11,33508e-10,0.091439,0.091442,3213e-9,0.00374
354.4049,4,20366e-11,26832e-10,0.089098,0.089101,2572e-9,0.003498
378.8588,4,17433e-11,21485e-10,0.086776,0.086778,2059e-9,0.003273
405.0001,4,14923e-11,17204e-10,0.084474,0.084476,1648e-9,0.003061
432.9451,4,12774e-11,13776e-10,0.082195,0.082196,132e-8,0.002864
