E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,5.43077,4.2268,173430,21141e-8,173430,0,116
0.01142761,5.6574,4.3599,167340,28599e-8,167340,0,108.5
0.01221612,5.89493,4.4827,160950,38486e-8,160950,0,101.5
0.01305903,6.1416,4.5937,154290,51525e-8,154290,0,94.94
0.0139601,6.39538,4.6917,147410,68627e-8,147410,0,88.81
0.01492335,6.65388,4.7757,140360,90938e-8,140360,0,83.08
0.01595306,6.91442,4.845,133210,0.0011989,133210,0,77.72
0.01705382,7.17398,4.899,126e3,0.0015727,126e3,0,72.7
0.01823053,7.42913,4.9378,118800,0.0020526,118800,0,68.01
0.01948844,7.6759,4.9614,111660,0.0026657,111660,0,63.62
0.02083314,7.90949,4.9703,104640,0.0034448,104640,0,59.51
0.02227063,8.12377,4.9652,97787,0.0044296,97787,0,55.67
0.0238073,8.31018,4.947,91140,0.0056682,91140,0,52.08
0.02545001,8.45545,4.9167,84736,0.0072178,84736,0,48.72
0.02720606,8.53633,4.8757,78604,0.0091468,78604,0,45.57
0.02908327,8.50468,4.8251,72768,0.011536,72768,0,42.63
0.03109002,8.23348,4.7664,67243,0.014479,67243,0,39.88
0.03323523,7.17095,4.701,62040,0.018088,62040,0,37.31
0.034104,5.77629,4.6591,59921,0.019689,59921,0,36.35
0.034626,2.90324,4.6174,58489,0.02069,58489,0,35.81
0.0347652,0.778485,4.6063,58115,0.020962,58115,0,35.66
0.034974,3.36242,11.959,149980,0.021373,149980,0,35.45
0.03552846,7.19047,11.443,141270,0.02249,141270,0,34.9
0.03797993,11.2789,9.5682,110500,0.027833,110500,0,32.64
0.04060054,12.6164,8.1374,87909,0.034285,87909,0,30.54
0.04340198,13.2362,7.0647,71394,0.042038,71394,0,28.57
0.04639671,13.5538,6.2404,58993,0.051308,58993,0,26.72
0.04959809,13.721,5.5908,49441,0.062338,49441,0,25
0.05302035,13.8042,5.0665,41912,0.075397,41912,0,23.38
0.05667876,13.8311,4.6336,35857,0.090782,35857,0,21.87
