E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.004606,0.803768,0,0,61552e-9,61552e-9,0,269.2
0.0046765,0.303582,0,0,65531e-9,65531e-9,0,265.1
0.0046953,0.292582,0,0,66621e-9,66621e-9,0,264.1
0.0047235,0.323173,1.1721,965910,68281e-9,965910,0,262.5
0.004794,0.861328,1.1548,937690,72554e-9,937690,0,258.6
0.01069,2.36087,0.63908,232720,0.001392,232720,0,116
0.01142761,2.37363,0.60622,206500,0.0017295,206500,0,108.5
0.01221612,2.37133,0.57327,182670,0.0021398,182670,0,101.5
0.01305903,2.33137,0.54038,161080,0.0026362,161080,0,94.94
0.0132006,2.31282,0.53508,157790,0.0027255,157790,0,93.92
0.01340265,2.25109,0.52763,153250,0.0028559,153250,0,92.51
0.01345653,2.18102,0.52567,152070,0.0028913,152070,0,92.14
0.01353735,2.24636,0.65844,189340,0.0029448,189340,0,91.59
0.0137394,2.30171,0.65819,186480,0.0030811,186480,0,90.24
0.0139601,2.32499,0.65834,183580,0.003234,183580,0,88.81
0.01492335,2.36971,0.66435,173290,0.0039507,173290,0,83.08
0.01595306,2.40102,0.67606,164970,0.0048061,164970,0,77.72
0.01705382,2.43266,0.68985,157460,0.0058225,157460,0,72.7
0.01823053,2.46722,0.7042,150370,0.0070249,150370,0,68.01
0.01948844,2.50542,0.71767,143350,0.0084409,143350,0,63.62
0.02083314,2.54708,0.72892,136200,0.010101,136200,0,59.51
0.02227063,2.59154,0.737,128820,0.012039,128820,0,55.67
0.0238073,2.63793,0.74132,121210,0.014291,121210,0,52.08
0.02545001,2.68534,0.74153,113420,0.016897,113420,0,48.72
0.02720606,2.73282,0.73754,105530,0.019899,105530,0,45.57
0.02908327,2.77952,0.72948,97639,0.023342,97639,0,42.63
0.03109002,2.8247,0.71764,89854,0.027273,89854,0,39.88
0.03323523,2.86772,0.70241,82270,0.031743,82270,0,37.31
0.03552846,2.90809,0.68424,74970,0.036803,74970,0,34.9
0.03797993,2.94544,0.66364,68019,0.042507,68019,0,32.64
0.04060054,2.97932,0.64107,61464,0.048907,61464,0,30.54
0.04340198,3.00989,0.61699,55338,0.056058,55338,0,28.57
0.04639671,3.03686,0.59184,49655,0.064014,49655,0,26.72
0.04959809,3.06015,0.56597,44421,0.072827,44421,0,25
0.05302035,3.07973,0.53974,39627,0.082546,39627,0,23.38
0.05667876,3.09557,0.51332,35255,0.093218,35255,0,21.87
0.06058959,3.10748,0.4868,31276,0.10489,31276,0,20.46
0.06477028,3.11523,0.46045,27673,0.11759,27673,0,19.14
0.06923942,3.11858,0.43449,24428,0.13135,24428,0,17.91
0.07401695,3.11726,0.4091,21515,0.1462,21515,0,16.75
